TAKIPID,GOREV_ADI,ISCI_SAYISI
905476,KALİTECİ,1
905476,PRES OPERATÖRÜ,1
905476,PRES İSTİFLEYİCİ,3
906183,KALİTECİ,1
906183,PRES OPERATÖRÜ,1
906183,PRES İSTİFLEYİCİ,1
900708,KALİTECİ,1
900708,PRES OPERATÖRÜ,1
900708,PRES İSTİFLEYİCİ,2
905025,PRES OPERATÖRÜ,1
905025,PRES İSTİFLEYİCİ,1
904638,PRES OPERATÖRÜ,1
904638,PRES İSTİFLEYİCİ,1
902692,PRES OPERATÖRÜ,2
902692,PRES İSTİFLEYİCİ,2
901519,KALİTECİ,1
901519,PRES OPERATÖRÜ,2
901519,PRES İSTİFLEYİCİ,3
901479,KALİTECİ,1
901479,PRES OPERATÖRÜ,2
901479,PRES İSTİFLEYİCİ,1
902931,KALİTECİ,1
902931,PRES OPERATÖRÜ,2
902931,PRES İSTİFLEYİCİ,3
901778,PRES OPERATÖRÜ,2
901778,PRES İSTİFLEYİCİ,3
903034,PRES OPERATÖRÜ,2
903034,PRES İSTİFLEYİCİ,3
907575,KALİTECİ,1
907575,PRES OPERATÖRÜ,1
907575,PRES İSTİFLEYİCİ,2
907946,PRES OPERATÖRÜ,1
907946,PRES İSTİFLEYİCİ,3
901745,PRES OPERATÖRÜ,1
901745,PRES İSTİFLEYİCİ,1
902819,KALİTECİ,1
902819,PRES OPERATÖRÜ,2
902819,PRES İSTİFLEYİCİ,2
907608,PRES OPERATÖRÜ,2
907608,PRES İSTİFLEYİCİ,1
907869,PRES OPERATÖRÜ,1
907869,PRES İSTİFLEYİCİ,3
902079,KALİTECİ,1
902079,PRES OPERATÖRÜ,1
902079,PRES İSTİFLEYİCİ,3
903466,KALİTECİ,1
903466,PRES OPERATÖRÜ,2
903466,PRES İSTİFLEYİCİ,1
907761,PRES OPERATÖRÜ,2
907761,PRES İSTİFLEYİCİ,1
902989,KALİTECİ,1
902989,PRES OPERATÖRÜ,1
902989,PRES İSTİFLEYİCİ,1
903303,KALİTECİ,1
903303,PRES OPERATÖRÜ,1
903303,PRES İSTİFLEYİCİ,1
904711,PRES OPERATÖRÜ,1
904711,PRES İSTİFLEYİCİ,1
900512,PRES İSTİFLEYİCİ,1
900512,MAKAS OPERATÖRÜ,1
901777,PRES İSTİFLEYİCİ,1
901777,MAKAS OPERATÖRÜ,1
901477,PRES İSTİFLEYİCİ,2
901477,MAKAS OPERATÖRÜ,1
900820,PRES İSTİFLEYİCİ,1
900820,MAKAS OPERATÖRÜ,2
904636,PRES İSTİFLEYİCİ,2
904636,MAKAS OPERATÖRÜ,2
902046,PRES İSTİFLEYİCİ,2
902046,MAKAS OPERATÖRÜ,2
902047,BASKI OPERATÖRÜ,2
908081,PAKETLEMECİ,1
908081,BASKI OPERATÖRÜ,2
900513,KALİTECİ,1
900513,PAKETLEMECİ,1
900513,BASKI OPERATÖRÜ,1
903746,BANT LİDERİ,1
903746,ŞEKİLLENDİRME,6
903746,KALİTECİ,1
903746,PAKETLEMECİ,3
908083,BANT LİDERİ,1
908083,ŞEKİLLENDİRME,5
908083,KALİTECİ,1
908083,PAKETLEMECİ,3
907933,BANT LİDERİ,1
907933,ŞEKİLLENDİRME,4
907933,KALİTECİ,2
907933,PAKETLEMECİ,4
901961,BANT LİDERİ,1
901961,ŞEKİLLENDİRME,6
901961,KALİTECİ,1
901961,PAKETLEMECİ,3
903408,BANT LİDERİ,1
903408,ŞEKİLLENDİRME,2
903408,KALİTECİ,1
903408,PAKETLEMECİ,4
902990,BANT LİDERİ,1
902990,ŞEKİLLENDİRME,5
902990,KALİTECİ,1
902990,PAKETLEMECİ,1
903304,BANT LİDERİ,1
903304,ŞEKİLLENDİRME,6
903304,KALİTECİ,1
903304,PAKETLEMECİ,1
901779,BANT LİDERİ,1
901779,ŞEKİLLENDİRME,6
901779,KALİTECİ,1
901779,PAKETLEMECİ,2
904073,BANT LİDERİ,1
904073,ŞEKİLLENDİRME,4
904073,KALİTECİ,1
904073,PAKETLEMECİ,3
901746,BANT LİDERİ,1
901746,ŞEKİLLENDİRME,3
901746,KALİTECİ,1
901746,PAKETLEMECİ,2
905691,BANT LİDERİ,1
905691,ŞEKİLLENDİRME,2
905691,KALİTECİ,1
905691,PAKETLEMECİ,4
901760,BANT LİDERİ,1
901760,ŞEKİLLENDİRME,5
901760,KALİTECİ,1
901760,PAKETLEMECİ,4
901478,BASKI OPERATÖRÜ,2
903938,KALİTECİ,1
903938,BASKI OPERATÖRÜ,1
902048,BANT LİDERİ,1
902048,ŞEKİLLENDİRME,5
902048,KALİTECİ,1
902048,PAKETLEMECİ,1
903940,BANT LİDERİ,1
903940,ŞEKİLLENDİRME,4
903940,KALİTECİ,1
903940,PAKETLEMECİ,2
