DEMIR_KODU,INCKEYNO,DEMIR_ISMI,ISTKODU
PRS-01,1,PRES 01 · 63 TON EKSANTRİK,PRS
PRS-02,2,PRES 02 · 63 TON EKSANTRİK,PRS
PRS-03,3,PRES 03 · 80 TON EKSANTRİK,PRS
PRS-04,4,PRES 04 · 80 TON EKSANTRİK,PRS
PRS-05,5,PRES 05 · 100 TON EKSANTRİK,PRS
PRS-06,6,PRES 06 · 40 TON SIVAMA,PRS
PRS-07,7,PRES 07 · 40 TON SIVAMA,PRS
PRS-08,8,PRES 08 · 63 TON SIVAMA,PRS
PRS-09,9,PRES 09 · 63 TON SIVAMA,PRS
PRS-10,10,PRES 10 · 100 TON DERİN ÇEKME,PRS
PRS-11,11,PRES 11 · 25 TON KAPAK,PRS
PRS-12,12,PRES 12 · 25 TON KAPAK,PRS
PRS-13,13,PRES 13 · 35 TON KAPAK,PRS
PRS-14,14,PRES 14 · 35 TON DİP,PRS
PRS-15,15,PRES 15 · 35 TON DİP,PRS
PRS-16,16,PRES 16 · 16 TON KULP,PRS
PRS-17,17,PRES 17 · 16 TON KULP,PRS
PRS-18,18,PRES 18 · 20 TON HALKA,PRS
PRS-19,19,PRES 19 · 20 TON HALKA,PRS
PRS-20,20,PRES 20 · 45 TON ÇOK KADEMELİ,PRS
PRS-21,21,PRES 21 · 45 TON ÇOK KADEMELİ,PRS
PRS-22,22,PRES 22 · 60 TON TRANSFER,PRS
PRS-23,23,PVC KAPLAMA HATTI 01,PRS
KSM-01,24,KESİM HATTI 01 · GİYOTİN,KSM
KSM-02,25,KESİM HATTI 02 · GİYOTİN,KSM
KSM-03,26,KESİM HATTI 03 · DİLİMLEME,KSM
KSM-04,27,KESİM HATTI 04 · DİLİMLEME,KSM
KSM-05,28,KESİM HATTI 06 · KÖŞE KESME,KSM
KSM-06,29,KESİM HATTI 07 · KÖŞE KESME,KSM
MTB-01,30,OFSET BASKI 01 · 4 RENK,MTB
MTB-02,31,OFSET BASKI 02 · 4 RENK,MTB
MTB-03,32,OFSET BASKI 03 · 2 RENK + VERNİK,MTB
MNT-01,33,MONTAJ HATTI 01 · OTOMATİK,MNT
MNT-02,34,MONTAJ HATTI 02 · OTOMATİK,MNT
MNT-03,35,MONTAJ HATTI 03 · OTOMATİK,MNT
MNT-04,36,MONTAJ HATTI 04 · YARI OTOMATİK,MNT
MNT-05,37,MONTAJ HATTI 05 · YARI OTOMATİK,MNT
MNT-06,38,MONTAJ HATTI 06 · YARI OTOMATİK,MNT
MNT-07,39,MONTAJ HATTI 08 · SIVAMA,MNT
MNT-08,40,MONTAJ HATTI 09 · SIVAMA,MNT
MNT-09,41,MONTAJ HATTI 10 · KAPAK,MNT
MNT-10,42,MONTAJ HATTI 11 · KAPAK,MNT
MNT-11,43,MONTAJ HATTI 13 · ÖZEL ŞEKİL,MNT
MNT-12,44,MONTAJ HATTI 14 · ÖZEL ŞEKİL,MNT
DJT-01,45,DİJİTAL BASKI 01,DJT
DJT-02,46,DİJİTAL BASKI 02,DJT
MNT-13,47,MANUEL SARIM 01,MNT
MNT-14,48,MANUEL SARIM 02,MNT
