TAKIP_ID,BAS_TAR,BIT_TAR,ISEMRINO,REFISEMRINO,SIPARIS_NO,STOKKODU,STOK_ADI,ISTISIM,MRPMAKINENO,DEMIR_KODU,DEMIR_ISMI,ISEMRI_MIKTARI,URETILENMIKTAR,FIREMIKTAR,G_HAZIRLIK,G_ISLEM,DURUSSURE,ISLEM_DURUMU,OPKODU,CARI_KODU,CARI_ISIM,KONFIG_ID,KONFIG_ADI,STD_SURE,BANT_LIDERI,SEKILLENDIRME,KALITECI,PAKETLEMECI,PRES_OPR,PRES_ISTIFLEYICI,MAKAS_OPR,BASKI_OPR
900915,2026-07-30 10:21:00,,IE26900915,RF900915,SIP26006852,M00054,YUVARLAK KUTU 073-062 LITOGRAFI 2 PARÇA,PRES,1,PRS-01,PRES 01 · 63 TON EKSANTRİK,2476,2176,102,120.9,21,36.4,ARIZA/DURUŞ,OP03,120.01.0014,Kavaklıdere Zeytin Ltd. Şti.,1,TEK VARDİYA,3.048,0,0,1,0,2,1,0,0
902773,2026-07-30 09:04:00,,IE26902773,RF902773,STKB26000501,M00005,YUVARLAK-SIVAMA KUTU 088-071 MAT LAK 3 PARÇA,PRES,2,PRS-02,PRES 02 · 63 TON EKSANTRİK,2488,228,7,105.6,13.7,23.5,ARIZA/DURUŞ,OP02,120.01.0043,Fjordholm Trading B.V.,2,ÇİFT VARDİYA,1.573,0,0,0,0,2,2,0,0
901322,2026-07-30 13:05:00,,IE26901322,RF901322,SIP26006888,M00053,YUVARLAK KUTU 073-062 VERNIKLI 3 PARÇA,PRES,3,PRS-03,PRES 03 · 80 TON EKSANTRİK,145,103,2,24,0.7,0,ISLEM,OP03,120.01.0011,Akkavak Şekerleme A.Ş.,1,TEK VARDİYA,0.595,0,0,0,0,2,2,0,0
905591,2026-07-30 20:22:00,,IE26905591,RF905591,SIP26006664,M00003,YUVARLAK KUTU 153-118 HAM TENEKE 2 PARÇA,PRES,4,PRS-04,PRES 04 · 80 TON EKSANTRİK,7535,0,0,84.7,99.1,0,PASIF,OP03,120.01.0011,Akkavak Şekerleme A.Ş.,1,TEK VARDİYA,1.623,0,0,0,0,2,1,0,0
905515,2026-07-28 11:15:48,2026-07-28 16:27:08,IE26905515,RF905515,SIP26006680,M00001,YUVARLAK KUTU 073-062 VERNIKLI 3 PARÇA,PRES,5,PRS-05,PRES 05 · 100 TON EKSANTRİK,75,75,1,51.3,0.4,57.1,TAMAMLANDI,OP03,120.01.0009,Ardıçlı Endüstri Koll. Şti.,3,SÜREKLİ,3.358,0,0,0,0,2,1,0,0
902346,2026-07-30 11:46:00,,IE26902346,RF902346,SIP26006900,M00013,OVAL KUTU 128-066 MAT LAK 3 PARÇA,PRES,6,PRS-06,PRES 06 · 40 TON SIVAMA,3024,1292,5,69.2,12.8,12.6,ISLEM,OP02,120.01.0086,Çınaraltı Kozmetik Gıda San. A.Ş.,1,TEK VARDİYA,1.699,0,0,0,0,1,3,0,0
900031,2026-07-30 10:44:00,,IE26900031,RF900031,SIP26006782,M00023,SEKILLI KUTU 146-112 MAT LAK 2 PARÇA,PRES,7,PRS-07,PRES 07 · 40 TON SIVAMA,967,176,1,74.8,6.3,0,ISLEM,OP03,120.01.0012,Dörtyollu Kimya Gıda San. A.Ş.,1,TEK VARDİYA,2.342,0,0,1,0,1,2,0,0
903093,2026-07-30 09:17:00,,IE26903093,RF903093,SIP26006805,M00007,KARE KUTU 105-072 LITOGRAFI 3 PARÇA,PRES,8,PRS-08,PRES 08 · 63 TON SIVAMA,362,165,5,20.9,1.7,76.1,ISLEM,OP03,120.01.0010,Erikçi Zeytin A.Ş.,1,TEK VARDİYA,2.572,0,0,0,0,2,2,0,0
901773,2026-07-30 08:46:00,,IE26901773,RF901773,SIP26006904,M00002,YUVARLAK KUTU 099-084 VERNIKLI 3 PARÇA,PRES,9,PRS-09,PRES 09 · 63 TON SIVAMA,9918,4624,92,107,32.8,39.9,HAZIRLIK,OP02,120.01.0001,Ardıçlı Boya San. Tic. Ltd. Şti.,2,ÇİFT VARDİYA,3.295,0,0,0,0,2,1,0,0
902188,2026-07-30 09:29:00,,IE26902188,RF902188,STKB26000500,M00007,KARE KUTU 105-072 LITOGRAFI 3 PARÇA,PRES,10,PRS-10,PRES 10 · 100 TON DERİN ÇEKME,364,160,1,60.6,2,3.6,ISLEM,OP03,120.01.0006,Umutlu Konserve A.Ş.,1,TEK VARDİYA,1.468,0,0,1,0,2,3,0,0
