INCKEYNO,TAKIP_ID,ISEMRINO,TARIH,YIL,HAFTA,BASLANGICTARIH,BITISTARIHSAAT,DEVAM_EDIYOR,URETILENMIKTAR,FIREMIKTAR,ACIKLAMA,BRUT_SURE,MOLA,NET_SURE,AKTIVITEKODU,AKTIVITE_ADI,ARIZAKODU,ARIZA_ADI,SURE_DAHIL,HAZIRLIK,ISLEM,ARIZA,HATBOS,STDSURE_ISLEM,KONFIGURASYON_ID,STANDARTHAZIRLIK,STANDARTMIKTAR,STANDARTSURE,ADDK
3000001,900001,IE25900001,2025-11-11,2025,46,2025-11-11 11:45:00,2025-11-11 13:23:12,0,0,0,,104.1,5.9,98.2,A01,HAZIRLIK,,,E,98.2,0,0,0,87.2,1001,88.4,1000,6.376,208.8
3000002,900001,IE25900001,2025-11-11,2025,46,2025-11-11 13:23:12,2025-11-11 15:06:36,0,11845,250,,109.6,6.2,103.4,A02,ISLEM,,,E,0,103.4,0,15.5,83,1001,88.4,1000,6.376,203.1
3000003,900002,IE25900002,2025-11-12,2025,46,2025-11-12 15:00:00,2025-11-12 17:19:48,0,0,0,,148.2,8.4,139.8,A01,HAZIRLIK,,,E,139.8,0,0,0,48.7,1002,125.8,1000,4.186,157.9
3000004,900002,IE25900002,2025-11-12,2025,46,2025-11-12 17:19:48,2025-11-12 18:06:24,0,12390,96,,49.4,2.8,46.6,A02,ISLEM,,,E,0,46.6,0,0,50.6,1002,125.8,1000,4.186,191.8
3000005,900002,IE25900002,2025-11-12,2025,46,2025-11-12 18:06:24,2025-11-12 19:06:18,0,0,0,Vardiya Devri,63.5,3.6,59.9,A03,DURMA,AR09,Vardiya Devri,H,0,0,59.9,0,50.5,1002,125.8,1000,4.186,281.2
3000006,900003,IE25900003,2025-11-13,2025,46,2025-11-13 10:00:00,2025-11-13 10:55:18,0,0,0,,58.6,3.3,55.3,A01,HAZIRLIK,,,E,55.3,0,0,0,104.8,1003,49.8,1000,5.678,294.6
3000007,900003,IE25900003,2025-11-13,2025,46,2025-11-13 10:55:18,2025-11-13 12:35:06,0,12559,59,,105.8,6,99.8,A02,ISLEM,,,E,0,99.8,0,15.7,86.9,1003,49.8,1000,5.678,226.3
3000008,900004,IE25900004,2025-07-26,2025,30,2025-07-26 10:00:00,2025-07-26 12:14:12,0,0,0,,142.3,8.1,134.2,A01,HAZIRLIK,,,E,134.2,0,0,0,27.1,1004,120.8,1000,11.992,328.8
3000009,900004,IE25900004,2025-07-26,2025,30,2025-07-26 12:14:12,2025-07-26 12:47:54,0,4834,103,,35.7,2,33.7,A02,ISLEM,,,E,0,33.7,0,5.5,30.3,1004,120.8,1000,11.992,306.4
3000010,900004,IE25900004,2025-07-26,2025,30,2025-07-26 12:47:54,2025-07-26 13:27:48,0,0,0,Personel Yetersizliği,42.3,2.4,39.9,A03,DURMA,AR12,Personel Yetersizliği,H,0,0,39.9,0,30.1,1004,120.8,1000,11.992,109.2
3000011,900005,IE25900005,2025-07-27,2025,30,2025-07-27 20:45:00,2025-07-27 22:40:54,0,0,0,,122.9,7,115.9,A01,HAZIRLIK,,,E,115.9,0,0,0,24.1,1005,104.3,1000,13.791,246.7
3000012,900005,IE25900005,2025-07-27,2025,30,2025-07-27 22:40:54,2025-07-27 23:04:54,0,4781,130,,25.4,1.4,24,A02,ISLEM,,,E,0,24,0,16.6,26.4,1005,104.3,1000,13.791,247.1
3000013,900005,IE25900005,2025-07-27,2025,30,2025-07-27 23:04:54,2025-07-28 00:28:42,0,0,0,Vardiya Devri,88.8,5,83.8,A03,DURMA,AR09,Vardiya Devri,H,0,0,83.8,0,22.3,1005,104.3,1000,13.791,58.5
3000014,900006,IE25900006,2025-07-28,2025,31,2025-07-28 08:30:00,2025-07-28 08:57:48,0,0,0,,29.5,1.7,27.8,A01,HAZIRLIK,,,E,27.8,0,0,0,22.8,1006,25,1000,15.096,317.8
3000015,900006,IE25900006,2025-07-28,2025,31,2025-07-28 08:57:48,2025-07-28 09:19:42,0,4961,22,,23.2,1.3,21.9,A02,ISLEM,,,E,0,21.9,0,8.9,23,1006,25,1000,15.096,249.2
3000016,900006,IE25900006,2025-07-28,2025,31,2025-07-28 09:19:42,2025-07-28 10:25:54,0,0,0,Kalıp Değişimi,70.2,4,66.2,A03,DURMA,AR01,Kalıp Değişimi,H,0,0,66.2,0,22.8,1006,25,1000,15.096,122.2
3000017,900007,IE25900007,2025-07-29,2025,31,2025-07-29 12:00:00,2025-07-29 13:01:12,0,0,0,,64.9,3.7,61.2,A01,HAZIRLIK,,,E,61.2,0,0,0,29.4,1007,55.1,1000,12.566,333.4
3000018,900007,IE25900007,2025-07-29,2025,31,2025-07-29 13:01:12,2025-07-29 13:28:54,0,4984,16,,29.4,1.7,27.7,A02,ISLEM,,,E,0,27.7,0,33.8,27.3,1007,55.1,1000,12.566,243.5
3000019,900007,IE25900007,2025-07-29,2025,31,2025-07-29 13:28:54,2025-07-29 13:45:06,0,0,0,Kalıp Değişimi,17.2,1,16.2,A03,DURMA,AR01,Kalıp Değişimi,H,0,0,16.2,0,22.4,1007,55.1,1000,12.566,101
3000020,900008,IE26900008,2026-03-08,2026,10,2026-03-08 09:30:00,2026-03-08 11:17:30,0,0,0,,114,6.5,107.5,A01,HAZIRLIK,,,E,107.5,0,0,0,11.4,1008,96.8,1000,21.974,138.4
3000021,900008,IE26900008,2026-03-08,2026,10,2026-03-08 11:17:30,2026-03-08 11:29:12,0,3007,72,,12.4,0.7,11.7,A02,ISLEM,,,E,0,11.7,0,0,10.8,1008,96.8,1000,21.974,308.8
3000022,900008,IE26900008,2026-03-08,2026,10,2026-03-08 11:29:12,2026-03-08 11:35:12,0,0,0,Ayar / Numune Onayı,6.4,0.4,6,A03,DURMA,AR05,Ayar / Numune Onayı,H,0,0,6,0,10.6,1008,96.8,1000,21.974,309.9
3000023,900009,IE26900009,2026-03-09,2026,11,2026-03-09 20:45:00,2026-03-09 22:47:24,0,0,0,,129.7,7.3,122.4,A01,HAZIRLIK,,,E,122.4,0,0,0,9.7,1009,110.2,1000,23.084,88.3
3000024,900009,IE26900009,2026-03-09,2026,11,2026-03-09 22:47:24,2026-03-09 22:57:30,0,3090,38,,10.7,0.6,10.1,A02,ISLEM,,,E,0,10.1,0,12.4,10.2,1009,110.2,1000,23.084,74
3000025,900010,IE26900010,2026-03-10,2026,11,2026-03-10 11:30:00,2026-03-10 11:48:48,0,0,0,,19.9,1.1,18.8,A01,HAZIRLIK,,,E,18.8,0,0,0,11.7,1010,16.9,1000,19.199,156.6
3000026,900010,IE26900010,2026-03-10,2026,11,2026-03-10 11:48:48,2026-03-10 11:59:54,0,2984,109,,11.8,0.7,11.1,A02,ISLEM,,,E,0,11.1,0,0,9.3,1010,16.9,1000,19.199,220.4
3000027,900010,IE26900010,2026-03-10,2026,11,2026-03-10 11:59:54,2026-03-10 12:12:18,0,0,0,Ayar / Numune Onayı,13.1,0.7,12.4,A03,DURMA,AR05,Ayar / Numune Onayı,H,0,0,12.4,0,10.5,1010,16.9,1000,19.199,199.8
3000028,900015,IE26900015,2026-01-18,2026,3,2026-01-18 15:30:00,2026-01-18 17:02:24,0,0,0,,97.9,5.5,92.4,A01,HAZIRLIK,,,E,92.4,0,0,0,3.5,1015,83.2,1000,80.121,60.2
3000029,900015,IE26900015,2026-01-18,2026,3,2026-01-18 17:02:24,2026-01-18 17:05:54,0,709,19,,3.7,0.2,3.5,A02,ISLEM,,,E,0,3.5,0,8.2,3,1015,83.2,1000,80.121,108.5
3000030,900015,IE26900015,2026-01-18,2026,3,2026-01-18 17:05:54,2026-01-18 18:17:48,0,0,0,Mekanik Arıza,76.2,4.3,71.9,A03,DURMA,AR03,Mekanik Arıza,H,0,0,71.9,0,3.3,1015,83.2,1000,80.121,211.8
3000031,900016,IE26900016,2026-01-19,2026,4,2026-01-19 17:15:00,2026-01-19 19:04:36,0,0,0,,116.2,6.6,109.6,A01,HAZIRLIK,,,E,109.6,0,0,0,5.5,1016,98.6,1000,64.791,93.6
3000032,900016,IE26900016,2026-01-19,2026,4,2026-01-19 19:04:36,2026-01-19 19:09:42,0,724,23,,5.4,0.3,5.1,A02,ISLEM,,,E,0,5.1,0,16.2,5.2,1016,98.6,1000,64.791,126.7
3000033,900017,IE26900017,2026-01-20,2026,4,2026-01-20 19:00:00,2026-01-20 19:48:36,0,0,0,,51.5,2.9,48.6,A01,HAZIRLIK,,,E,48.6,0,0,0,3.5,1017,43.7,1000,68.39,40.1
3000034,900017,IE26900017,2026-01-20,2026,4,2026-01-20 19:48:36,2026-01-20 19:52:06,0,713,8,,3.7,0.2,3.5,A02,ISLEM,,,E,0,3.5,0,20.2,3.8,1017,43.7,1000,68.39,121.6
3000035,900017,IE26900017,2026-01-20,2026,4,2026-01-20 19:52:06,2026-01-20 19:58:48,0,0,0,Kalıp Değişimi,7.1,0.4,6.7,A03,DURMA,AR01,Kalıp Değişimi,H,0,0,6.7,0,3.7,1017,43.7,1000,68.39,240.5
3000036,900018,IE26900018,2026-01-21,2026,4,2026-01-21 18:00:00,2026-01-21 19:20:12,0,0,0,,85,4.8,80.2,A01,HAZIRLIK,,,E,80.2,0,0,0,4.7,1018,72.2,1000,100.875,279.8
3000037,900018,IE26900018,2026-01-21,2026,4,2026-01-21 19:20:12,2026-01-21 19:24:30,0,723,28,,4.6,0.3,4.3,A02,ISLEM,,,E,0,4.3,0,21.2,4.3,1018,72.2,1000,100.875,163.5
