INCKEYNO,TAKIP_ID,ISEMRINO,STOK_KODU,STOK_ADI,BASLANGICTARIH,BITISTARIHSAAT,SURE,ACIKLAMA,ARIZA_ADI,DEVAM_EDIYOR
4000001,900002,IE25900002,M00002,TEPSI 325-125 MAT LAK 3 PARÇA,2025-11-12 17:50:36,2025-11-12 18:50:30,59.9,Yedek parça bekleniyor,Kalıp Değişimi,0
4000002,900004,IE25900004,M00016,YUVARLAK-SIVAMA KUTU Ø068 HAM TENEKE 2 PARÇA,2025-07-26 12:32:34,2025-07-26 13:12:28,39.9,Operatör müdahalesi,Elektrik Arızası,0
4000003,900005,IE25900005,M00016,YUVARLAK-SIVAMA KUTU Ø068 HAM TENEKE 2 PARÇA,2025-07-27 22:49:02,2025-07-28 00:12:50,83.8,Operatör müdahalesi,Kalıp Değişimi,0
4000004,900006,IE25900006,M00016,YUVARLAK-SIVAMA KUTU Ø068 HAM TENEKE 2 PARÇA,2025-07-28 09:10:46,2025-07-28 10:16:58,66.2,Kalıp söküldü,Vardiya Devri,0
4000005,900007,IE25900007,M00016,YUVARLAK-SIVAMA KUTU Ø068 HAM TENEKE 2 PARÇA,2025-07-29 13:06:26,2025-07-29 13:22:38,16.2,Operatör müdahalesi,Mekanik Arıza,0
4000006,900008,IE26900008,M00001,KAPAK 090-065 HAM TENEKE 2 PARÇA,2026-03-08 11:24:46,2026-03-08 11:30:46,6,,Hidrolik Kaçak,0
4000007,900010,IE26900010,M00001,KAPAK 090-065 HAM TENEKE 2 PARÇA,2026-03-10 11:54:31,2026-03-10 12:06:55,12.4,Operatör müdahalesi,Personel Yetersizliği,0
4000008,900015,IE26900015,M00097,YUVARLAK KUTU Ø050 MAT LAK 2 PARÇA,2026-01-18 17:03:23,2026-01-18 18:15:17,71.9,Yedek parça bekleniyor,Kalite Duruşu,0
4000009,900017,IE26900017,M00097,YUVARLAK KUTU Ø050 MAT LAK 2 PARÇA,2026-01-20 19:51:41,2026-01-20 19:58:23,6.7,Yedek parça bekleniyor,Ayar / Numune Onayı,0
4000010,900019,IE25900019,M00022,SEKIZGEN KUTU 135-145 VERNIKLI 2 PARÇA,2025-10-19 07:56:52,2025-10-19 08:22:58,26.1,Bakım çağrıldı,Hidrolik Kaçak,0
4000011,900020,IE25900020,M00022,SEKIZGEN KUTU 135-145 VERNIKLI 2 PARÇA,2025-10-20 18:52:33,2025-10-20 20:11:45,79.2,Kalıp söküldü,Malzeme Bekleme,0
4000012,900021,IE25900021,M00022,SEKIZGEN KUTU 135-145 VERNIKLI 2 PARÇA,2025-10-21 14:39:36,2025-10-21 15:40:18,60.7,Yedek parça bekleniyor,Hidrolik Kaçak,0
4000013,900024,IE26900024,M00001,KAPAK 090-065 HAM TENEKE 2 PARÇA,2026-06-20 19:35:18,2026-06-20 20:06:06,30.8,Yedek parça bekleniyor,Vardiya Devri,0
4000014,900025,IE26900025,M00001,KAPAK 090-065 HAM TENEKE 2 PARÇA,2026-06-21 15:20:16,2026-06-21 15:43:34,23.3,Bakım çağrıldı,Malzeme Bekleme,0
4000015,900027,IE26900027,M00013,KOSELI SIVAMA KUTU 210-080 LITOGRAFI 3 PARÇA,2026-05-26 19:57:03,2026-05-26 20:12:09,15.1,,Kalıp Değişimi,0
