TAKIP_ID,ISEMRINO,AKTIVITEKODU,AKTIVITE_ADI,BASLANGICTARIH,DEVAM_EDENSURE,MIKTAR,DEMIR_KODU,ISTISIM,KAPATILDI,OPKODU,STOK_ADI,STOK_KODU,CARI_ISIM,SIPARIS_NO,REFISEMRINO,URETIM,FIRE,HAZIRLIK,ISLEM,ARIZA,STDSURE_V,TAMAMLANMA,INSANSAAT_HAZIRLIK,INSANSAAT_ISLEM,ORTALAMA_CALISAN_SAYISI,VERIM_TAKIPET,KT_VERIMTAKIP
906183,IE26906183,A02,ISLEM,2026-07-30 10:29:00,233,301,PRS-02,PRES,O,OP02,YUVARLAK KUTU 205-050 LITOGRAFI 2 PARÇA,M00012,Narlıcan Makine San. Tic. Ltd. Şti.,STK26001001,RF906183,50,8,66.3,1.3,70.9,1.02,0.1661,6.321,0.124,5.72,E,E
900708,IE26900708,A03,DURMA,2026-07-30 10:39:00,223,12031,PRS-03,PRES,O,OP03,KAPAK 090-065 HAM TENEKE 2 PARÇA,M00001,Orhanlı Reçel Ltd. Şti.,STK26000981,RF900708,9742,327,26.5,101.8,13.5,96.87,0.8097,1.316,5.056,2.98,E,H
905025,IE26905025,A02,ISLEM,2026-07-30 13:28:00,54,744,PRS-04,PRES,O,OP02,TEPSI 325-125 LITOGRAFI 2 PARÇA,M00132,Nordwind Oy,SIP26006653,RF905025,43,25,100.9,2.4,0,1.45,0.0578,3.027,0.072,1.8,E,E
904638,IE26904638,A01,HAZIRLIK,2026-07-30 07:23:00,419,755,PRS-05,PRES,O,OP03,YUVARLAK KUTU 120-105 HAM TENEKE 3 PARÇA,M00011,Mercanlı Konserve San. Tic. Ltd. Şti.,SIP26006722,RF904638,285,1,47,2.9,35.2,2.13,0.3775,2.749,0.17,3.51,E,E
902692,IE26902692,A02,ISLEM,2026-07-30 12:55:00,87,2073,PRS-06,PRES,O,OP02,OVAL KUTU 295-165 VERNIKLI 2 PARÇA,M00019,Akkavak Süt A.Ş.,SIP26006726,RF902692,529,10,26.3,21.9,135.4,13.96,0.2552,0.636,0.529,1.45,E,H
901519,IE26901519,A02,ISLEM,2026-07-30 12:10:00,132,147,PRS-07,PRES,O,OP03,OVAL KUTU 295-165 VERNIKLI 2 PARÇA,M00017,Cevizli Ambalaj Gıda San. A.Ş.,SIP26006822,RF901519,30,6,37.9,1,39.2,0.69,0.2041,3.493,0.092,5.53,E,H
902931,IE26902931,A01,HAZIRLIK,2026-07-30 10:54:00,208,3913,PRS-09,PRES,O,OP03,YUVARLAK KUTU 205-050 LITOGRAFI 2 PARÇA,M00012,Çınaraltı Tarım A.Ş.,SIP26006572,RF902931,1363,72,64.5,20.1,47.5,13.85,0.3483,3.978,1.24,3.7,E,E
901778,IE26901778,A02,ISLEM,2026-07-30 09:08:00,314,1522,PRS-10,PRES,O,OP02,YUVARLAK KUTU 120-105 HAM TENEKE 2 PARÇA,M00003,Vişneli Kimya A.Ş.,SIP26006847,RF901778,376,19,108.7,4.9,40.3,4.31,0.247,3.66,0.165,2.02,E,E
907575,IE26907575,A02,ISLEM,2026-07-30 13:25:00,57,1244,PRS-12,PRES,O,OP03,KAPAK 245-175 LITOGRAFI 3 PARÇA,M00047,Yaylalı Süt San. Tic. Ltd. Şti.,SIP26006671,RF907575,1040,8,99.3,7.8,54.6,6.77,0.836,7.216,0.567,4.36,E,E
907946,IE26907946,A01,HAZIRLIK,2026-07-30 06:43:00,459,971,PRS-13,PRES,O,OP03,YUVARLAK KUTU 255-205 LITOGRAFI 2 PARÇA,M00223,Gümüşdere Çay Ltd. Şti.,SIP26006758,RF907946,642,14,22,4.1,0,3.02,0.6612,0.953,0.178,2.6,E,H
901745,IE26901745,A02,ISLEM,2026-07-30 09:57:00,265,1244,PRS-14,PRES,O,OP02,OVAL KUTU 295-165 VERNIKLI 2 PARÇA,M00019,Ünlüoğlu Çay A.Ş.,SIP26006772,RF901745,991,19,71.9,4.1,74,2.63,0.7966,4.494,0.256,3.75,E,E
907608,IE26907608,A02,ISLEM,2026-07-30 13:43:00,39,1839,PRS-16,PRES,O,OP03,YUVARLAK KUTU Ø050 MAT LAK 2 PARÇA,M00097,Alaçatı Süt Gıda San. A.Ş.,SIP26006627,RF907608,636,61,138.3,9.2,0,8.21,0.3458,7.261,0.483,3.15,E,E
907869,IE26907869,A03,DURMA,2026-07-30 08:19:00,363,5004,PRS-17,PRES,O,OP03,ALTIGEN KUTU 125-085 HAM TENEKE 3 PARÇA,M00063,Meridian A/S,SIP26006814,RF907869,1361,185,99.3,38.6,34,22.89,0.272,7.878,3.062,4.76,E,H
903466,IE26903466,A03,DURMA,2026-07-30 11:53:00,149,7419,PRS-19,PRES,O,OP03,YUVARLAK KUTU 120-105 VERNIKLI 3 PARÇA,M00038,Narlıcan Kozmetik Koll. Şti.,SIP26006525,RF903466,3302,354,62.6,64.1,95.4,45.17,0.4451,5.603,5.737,5.37,E,E
907761,IE26907761,A02,ISLEM,2026-07-30 11:23:00,179,3148,PRS-20,PRES,O,OP03,KAPAK 090-065 HAM TENEKE 2 PARÇA,M00001,Orionis Oy,STK26000967,RF907761,2375,49,70.4,50.7,37,28.92,0.7544,4.646,3.346,3.96,E,H
902989,IE26902989,A01,HAZIRLIK,2026-07-30 10:05:00,257,149,PRS-21,PRES,O,OP02,YUVARLAK KUTU Ø050 LITOGRAFI 3 PARÇA,M00092,Alaçatı Süt Gıda San. A.Ş.,SIP26006742,RF902989,13,0,95.6,1,56.9,0.71,0.0872,2.342,0.025,1.47,E,E
903303,IE26903303,A02,ISLEM,2026-07-30 10:02:00,260,8275,PRS-22,PRES,O,OP02,TEPSI 325-125 LITOGRAFI 2 PARÇA,M00056,Gümüşdere Bisküvi San. Tic. Ltd. Şti.,SIP26006711,RF903303,4918,94,124.4,113.8,26.7,86.49,0.5943,3.96,3.623,1.91,E,E
901777,IE26901777,A02,ISLEM,2026-07-30 07:23:00,419,1448,KSM-02,KESIM,O,OP01,YUVARLAK KUTU 120-105 HAM TENEKE 2 PARÇA,M00003,Vişneli Kimya A.Ş.,SIP26006847,RF901777,903,46,137.6,8,18.7,4.88,0.6236,11.65,0.677,5.08,E,H
904636,IE26904636,A02,ISLEM,2026-07-30 11:51:00,151,760,KSM-05,KESIM,O,OP01,YUVARLAK KUTU 120-105 HAM TENEKE 3 PARÇA,M00011,Mercanlı Konserve San. Tic. Ltd. Şti.,SIP26006722,RF904636,418,21,60.8,3.1,65.5,1.84,0.55,4.023,0.205,3.97,E,H
902046,IE26902046,A02,ISLEM,2026-07-30 12:27:00,115,2041,KSM-06,KESIM,O,OP01,KAPAK 090-065 HAM TENEKE 2 PARÇA,M00001,Efelik Tarım Koll. Şti.,STK26000997,RF902046,1674,28,70.7,6.4,18.3,4.66,0.8202,4.784,0.433,4.06,E,H
908081,IE26908081,A02,ISLEM,2026-07-30 08:33:00,349,292,MTB-02,MATBAA,O,OP02,YUVARLAK KUTU 210-255 MAT LAK 3 PARÇA,M00004,İncirli Tarım Ltd. Şti.,SIP26006886,RF908081,234,6,135.6,3.3,69.1,2.78,0.8014,10.871,0.265,4.81,E,E
900513,IE26900513,A02,ISLEM,2026-07-30 07:15:00,427,144,MTB-03,MATBAA,O,OP02,YUVARLAK KUTU 120-105 HAM TENEKE 2 PARÇA,M00003,Narlıcan Konserve A.Ş.,SIP26006880,RF900513,97,2,78.8,1,58.1,0.88,0.6736,6.33,0.08,4.82,E,E
903746,IE26903746,A01,HAZIRLIK,2026-07-30 11:43:00,159,621,MNT-01,MONTAJ,O,OP03,TEPSI 325-125 MAT LAK 3 PARÇA,M00002,Ünlüoğlu Reçel Gıda San. A.Ş.,SIP26006631,RF903746,467,25,105.4,2.5,70.5,1.96,0.752,4.638,0.11,2.64,E,E
