TAKIPNO,ISEMRINO,KALIPADI,STOK_KODU,STOK_ADI,CARI_KOD,CARI_ISIM,SIPARIS_NO,REFISEMRINO,SIPARIS_KONT,OPKODU,MAKINA_NO,MAKINE_ADI,ISTKODU,ISTISIM,MIKTAR,DURUM_KOD,DURUM_ADI,ACIKLAMA,TESLIM_TARIHI,TRA_ACIKLAMA,STOK_GRUPKODU,STOK_GRUPADI,STOK_KOD1,STOK_AD1,STOK_KOD2,STOK_AD2,STOK_KOD3,STOK_AD3,STOK_KOD4,STOK_AD4
900001,IE25900001,325-125,M00002,TEPSI 325-125 MAT LAK 3 PARÇA,120.01.0016,Nilüferli Makine Ltd. Şti.,SIP25005153,RF900001,3,OP01,29,KESİM HATTI 07 · KÖŞE KESME,KSM,KESIM,12095,30,TAMAMLANDI,,2025-12-01,Kısmi üretim,01,Mamul,SK11,Tepsi,KA5,Endüstriyel,325-125,Kalıp 325-125,B4,Mat Lak
900002,IE25900002,325-125,M00002,TEPSI 325-125 MAT LAK 3 PARÇA,120.01.0016,Nilüferli Makine Ltd. Şti.,SIP25005153,RF900002,3,OP02,30,OFSET BASKI 01 · 4 RENK,MTB,MATBAA,12486,30,TAMAMLANDI,Numune onayı bekleniyor,2025-11-26,,01,Mamul,SK11,Tepsi,KA5,Endüstriyel,325-125,Kalıp 325-125,B4,Mat Lak
900003,IE25900003,325-125,M00002,TEPSI 325-125 MAT LAK 3 PARÇA,120.01.0016,Nilüferli Makine Ltd. Şti.,SIP25005153,RF900003,3,OP03,47,MANUEL SARIM 01,MNT,MONTAJ,12618,30,TAMAMLANDI,,2025-12-02,Fazla üretim,01,Mamul,SK11,Tepsi,KA5,Endüstriyel,325-125,Kalıp 325-125,B4,Mat Lak
900004,IE25900004,DIA-068,M00016,YUVARLAK-SIVAMA KUTU Ø068 HAM TENEKE 2 PARÇA,120.01.0080,Stellamar Trading B.V.,SIP25004337,RF900004,1,OP01,25,KESİM HATTI 02 · GİYOTİN,KSM,KESIM,4937,30,TAMAMLANDI,,2025-08-22,Fazla üretim,01,Mamul,SK02,Yuvarlak-Sivama Kutu,KA3,Kozmetik,DIA-068,Kalıp DIA-068,B3,Ham Teneke
900005,IE25900005,DIA-068,M00016,YUVARLAK-SIVAMA KUTU Ø068 HAM TENEKE 2 PARÇA,120.01.0080,Stellamar Trading B.V.,SIP25004337,RF900005,1,OP02,45,DİJİTAL BASKI 01,DJT,DIJITAL,4911,30,TAMAMLANDI,Numune onayı bekleniyor,2025-08-15,Kısmi üretim,01,Mamul,SK02,Yuvarlak-Sivama Kutu,KA3,Kozmetik,DIA-068,Kalıp DIA-068,B3,Ham Teneke
900006,IE25900006,DIA-068,M00016,YUVARLAK-SIVAMA KUTU Ø068 HAM TENEKE 2 PARÇA,120.01.0080,Stellamar Trading B.V.,SIP25004337,RF900006,1,OP03,17,PRES 17 · 16 TON KULP,PRS,PRES,4983,30,TAMAMLANDI,Acil iş,2025-08-15,Kısmi üretim,01,Mamul,SK02,Yuvarlak-Sivama Kutu,KA3,Kozmetik,DIA-068,Kalıp DIA-068,B3,Ham Teneke
900007,IE25900007,DIA-068,M00016,YUVARLAK-SIVAMA KUTU Ø068 HAM TENEKE 2 PARÇA,120.01.0080,Stellamar Trading B.V.,SIP25004337,RF900007,1,OP04,35,MONTAJ HATTI 03 · OTOMATİK,MNT,MONTAJ,5000,30,TAMAMLANDI,Numune onayı bekleniyor,2025-08-19,,01,Mamul,SK02,Yuvarlak-Sivama Kutu,KA3,Kozmetik,DIA-068,Kalıp DIA-068,B3,Ham Teneke
900008,IE26900008,090-065,M00001,KAPAK 090-065 HAM TENEKE 2 PARÇA,120.01.0098,Orionis Oy,SIP26005726,RF900008,4,OP01,28,KESİM HATTI 06 · KÖŞE KESME,KSM,KESIM,3079,30,TAMAMLANDI,,2026-03-19,Kısmi üretim,01,Mamul,SK12,Kapak,KA2,Boya-Kimya,090-065,Kalıp 090-065,B3,Ham Teneke
900009,IE26900009,090-065,M00001,KAPAK 090-065 HAM TENEKE 2 PARÇA,120.01.0098,Orionis Oy,SIP26005726,RF900009,4,OP02,20,PRES 20 · 45 TON ÇOK KADEMELİ,PRS,PRES,3128,30,TAMAMLANDI,,2026-03-26,,01,Mamul,SK12,Kapak,KA2,Boya-Kimya,090-065,Kalıp 090-065,B3,Ham Teneke
900010,IE26900010,090-065,M00001,KAPAK 090-065 HAM TENEKE 2 PARÇA,120.01.0098,Orionis Oy,SIP26005726,RF900010,4,OP03,35,MONTAJ HATTI 03 · OTOMATİK,MNT,MONTAJ,3093,30,TAMAMLANDI,Numune onayı bekleniyor,2026-04-03,Kısmi üretim,01,Mamul,SK12,Kapak,KA2,Boya-Kimya,090-065,Kalıp 090-065,B3,Ham Teneke
