ID,BUGUNMU,TARIH,CALISMA_GRUP,KisiSayisi
1,FALSE,2026-06-15,PRES,28
2,FALSE,2026-06-15,KESİM,10
3,FALSE,2026-06-15,MATBAA,8
4,FALSE,2026-06-15,DİJİTAL,4
5,FALSE,2026-06-15,MONTAJ,47
6,FALSE,2026-06-15,MONTAJ_USTA,5
7,FALSE,2026-06-15,MONTAJ_MEYDAN,8
8,FALSE,2026-06-16,PRES,24
9,FALSE,2026-06-16,KESİM,10
10,FALSE,2026-06-16,MATBAA,9
11,FALSE,2026-06-16,DİJİTAL,4
12,FALSE,2026-06-16,MONTAJ,58
13,FALSE,2026-06-16,MONTAJ_USTA,5
14,FALSE,2026-06-16,MONTAJ_MEYDAN,9
15,FALSE,2026-06-17,PRES,27
16,FALSE,2026-06-17,KESİM,9
17,FALSE,2026-06-17,MATBAA,7
18,FALSE,2026-06-17,DİJİTAL,3
19,FALSE,2026-06-17,MONTAJ,43
20,FALSE,2026-06-17,MONTAJ_USTA,5
21,FALSE,2026-06-17,MONTAJ_MEYDAN,9
22,FALSE,2026-06-18,PRES,26
23,FALSE,2026-06-18,KESİM,13
24,FALSE,2026-06-18,MATBAA,8
25,FALSE,2026-06-18,DİJİTAL,4
26,FALSE,2026-06-18,MONTAJ,40
27,FALSE,2026-06-18,MONTAJ_USTA,6
28,FALSE,2026-06-18,MONTAJ_MEYDAN,7
29,FALSE,2026-06-19,PRES,28
30,FALSE,2026-06-19,KESİM,11
31,FALSE,2026-06-19,MATBAA,8
32,FALSE,2026-06-19,DİJİTAL,4
33,FALSE,2026-06-19,MONTAJ,45
34,FALSE,2026-06-19,MONTAJ_USTA,5
35,FALSE,2026-06-19,MONTAJ_MEYDAN,7
36,FALSE,2026-06-22,PRES,28
37,FALSE,2026-06-22,KESİM,11
38,FALSE,2026-06-22,MATBAA,8
39,FALSE,2026-06-22,DİJİTAL,4
40,FALSE,2026-06-22,MONTAJ,43
41,FALSE,2026-06-22,MONTAJ_USTA,6
42,FALSE,2026-06-22,MONTAJ_MEYDAN,8
43,FALSE,2026-06-23,PRES,25
44,FALSE,2026-06-23,KESİM,11
45,FALSE,2026-06-23,MATBAA,9
46,FALSE,2026-06-23,DİJİTAL,3
47,FALSE,2026-06-23,MONTAJ,36
48,FALSE,2026-06-23,MONTAJ_USTA,7
49,FALSE,2026-06-23,MONTAJ_MEYDAN,10
50,FALSE,2026-06-24,PRES,30
51,FALSE,2026-06-24,KESİM,10
52,FALSE,2026-06-24,MATBAA,7
53,FALSE,2026-06-24,DİJİTAL,4
54,FALSE,2026-06-24,MONTAJ,49
55,FALSE,2026-06-24,MONTAJ_USTA,6
56,FALSE,2026-06-24,MONTAJ_MEYDAN,8
57,FALSE,2026-06-25,PRES,24
58,FALSE,2026-06-25,KESİM,8
59,FALSE,2026-06-25,MATBAA,8
60,FALSE,2026-06-25,DİJİTAL,4
61,FALSE,2026-06-25,MONTAJ,42
62,FALSE,2026-06-25,MONTAJ_USTA,5
63,FALSE,2026-06-25,MONTAJ_MEYDAN,7
64,FALSE,2026-06-26,PRES,27
65,FALSE,2026-06-26,KESİM,10
66,FALSE,2026-06-26,MATBAA,9
67,FALSE,2026-06-26,DİJİTAL,3
68,FALSE,2026-06-26,MONTAJ,51
69,FALSE,2026-06-26,MONTAJ_USTA,6
70,FALSE,2026-06-26,MONTAJ_MEYDAN,8
71,FALSE,2026-06-29,PRES,25
72,FALSE,2026-06-29,KESİM,10
