ID,YIL,HAFTA,GRUP,TOPLAM
900001,2025,46,KESIM,176.5
900002,2025,46,MATBAA,145.9
900003,2025,46,MONTAJ,337.9
900004,2025,30,KESIM,273.1
900005,2025,30,DIJITAL,346.7
900006,2025,31,PRES,210.6
900007,2025,31,MONTAJ,590.1
900008,2026,10,KESIM,158.3
900009,2026,11,PRES,361.5
900010,2026,11,MONTAJ,223.9
900015,2026,3,KESIM,172.8
900016,2026,4,MATBAA,552.3
900017,2026,4,PRES,585.3
900018,2026,4,MONTAJ,324.8
900019,2025,42,KESIM,613.4
900020,2025,43,MATBAA,340.8
900021,2025,43,MONTAJ,317.1
900022,2026,25,KESIM,346.2
900023,2026,25,MATBAA,466.5
900024,2026,25,PRES,537.9
900025,2026,25,MONTAJ,519.3
900026,2026,22,KESIM,629.3
900027,2026,22,DIJITAL,551.2
900028,2026,22,PRES,342.1
900029,2026,22,MONTAJ,599.6
900030,2026,16,KESIM,152.7
900031,2026,16,MATBAA,570.1
900032,2026,16,MONTAJ,135.8
900033,2025,1,KESIM,455.5
900034,2026,1,MATBAA,180.6
900035,2026,1,PRES,168.8
900036,2026,1,MONTAJ,626.1
900041,2026,25,KESIM,249.6
900042,2026,25,MATBAA,348.1
900043,2026,26,PRES,201.3
900044,2026,26,MONTAJ,276.6
900045,2026,3,KESIM,354.8
900046,2026,3,DIJITAL,234.5
900047,2026,3,PRES,345.6
900048,2026,4,MONTAJ,586.8
900049,2026,28,KESIM,493.7
900050,2026,29,MATBAA,425.9
900051,2026,29,PRES,575.9
900052,2026,29,MONTAJ,366.8
900053,2026,15,KESIM,183.4
900054,2026,15,PRES,556
900055,2026,16,MONTAJ,182.8
900056,2026,7,KESIM,343.9
900057,2026,8,MATBAA,425.4
900058,2026,8,PRES,152.6
900059,2026,8,MONTAJ,295.9
900060,2026,16,KESIM,429.4
900061,2026,16,PRES,533.2
900062,2026,16,MONTAJ,467.4
900063,2025,28,KESIM,357
900064,2025,29,PRES,128.9
900065,2025,29,MONTAJ,558
900066,2025,30,KESIM,383.9
900067,2025,30,MATBAA,314.9
900068,2025,30,PRES,309.2
900069,2025,30,MONTAJ,433.9
900070,2026,25,KESIM,292.8
900071,2026,25,PRES,636.4
900072,2026,25,MONTAJ,298.2
900073,2026,1,KESIM,300.6
900074,2026,1,PRES,520.5
900075,2026,2,MONTAJ,220.7
900076,2026,25,KESIM,365.4
900077,2026,25,MATBAA,562.8
900078,2026,25,MONTAJ,320.6
900083,2025,48,KESIM,526.8
900084,2025,48,MATBAA,147.5
900085,2025,49,MONTAJ,247.6
900086,2025,49,KESIM,466.3
900087,2025,49,DIJITAL,250.1
900088,2025,49,PRES,486.7
900089,2025,49,MONTAJ,305.9
900093,2025,33,KESIM,395.7
900094,2025,33,DIJITAL,279
900095,2025,34,PRES,384.2
900096,2025,34,MONTAJ,329
900097,2025,33,KESIM,543.3
900098,2025,33,MATBAA,326.4
900099,2025,33,PRES,251.2
900100,2025,33,MONTAJ,568.2
900101,2025,43,KESIM,489.7
900102,2025,43,PRES,479.7
900103,2025,43,MONTAJ,309.9
900104,2025,26,KESIM,611.1
900105,2025,26,MATBAA,461.6
900106,2025,27,PRES,149.4
900107,2025,27,MONTAJ,370.2
900108,2026,2,KESIM,566
900109,2026,2,MATBAA,234.8
900110,2026,2,PRES,154.6
900111,2026,2,MONTAJ,534.8
900112,2026,17,KESIM,132.7
900113,2026,17,PRES,560.2
900114,2026,17,MONTAJ,166.9
900115,2025,46,KESIM,242.4
900116,2025,47,MATBAA,571.8
900117,2025,47,MONTAJ,311.4
900118,2026,8,KESIM,594.8
900119,2026,8,PRES,513
900120,2026,9,MONTAJ,401.5
900121,2025,31,KESIM,488.9
900122,2025,31,PRES,196.5
900123,2025,31,MONTAJ,526.5
900124,2026,3,KESIM,311.9
900125,2026,3,MATBAA,430.9
900126,2026,3,MONTAJ,474.3
900127,2025,39,KESIM,167.7
900128,2025,39,DIJITAL,305
900129,2025,40,PRES,432.3
900130,2025,40,MONTAJ,535.1
900131,2025,27,KESIM,454.8
900132,2025,27,PRES,208.2
900133,2025,28,MONTAJ,160.4
900134,2025,30,KESIM,405
900135,2025,30,MATBAA,139.8
900136,2025,30,PRES,634.6
900137,2025,30,MONTAJ,133.1
900138,2026,17,KESIM,612.3
900139,2026,17,PRES,156.9
900140,2026,17,MONTAJ,195.3
900141,2026,8,KESIM,396.7
900142,2026,8,MATBAA,237.8
900143,2026,8,MONTAJ,471.5
900144,2025,46,KESIM,410.8
900145,2025,46,PRES,629.6
900146,2025,46,MONTAJ,331.1
900147,2026,11,KESIM,392.9
900148,2026,11,DIJITAL,473.1
900149,2026,11,PRES,368.4
900150,2026,11,MONTAJ,607.7
900151,2026,2,KESIM,454.7
900152,2026,2,DIJITAL,259.4
900153,2026,2,PRES,505.5
900154,2026,3,MONTAJ,581.8
900155,2025,51,KESIM,451.1
900156,2025,51,DIJITAL,415.6
900157,2025,52,PRES,531.1
900158,2025,52,MONTAJ,291.4
900159,2026,22,KESIM,172.6
900160,2026,22,MATBAA,534.4
900161,2026,22,MONTAJ,630.9
900162,2026,25,KESIM,264.1
900163,2026,25,PRES,349
900164,2026,25,MONTAJ,256.9
900165,2025,32,KESIM,234.2
900166,2025,32,PRES,252.5
900167,2025,33,MONTAJ,209.9
900168,2025,42,KESIM,638.1
900169,2025,42,MATBAA,349.7
900170,2025,42,PRES,122
900171,2025,42,MONTAJ,181.7
900172,2025,29,KESIM,465.3
900173,2025,29,DIJITAL,329
900174,2025,29,PRES,192.4
900175,2025,29,MONTAJ,634.4
900176,2026,4,KESIM,584.5
900177,2026,4,MATBAA,220.9
900178,2026,4,MONTAJ,219
900179,2026,26,KESIM,386.5
900180,2026,26,MATBAA,332.9
900181,2026,26,MONTAJ,409.1
900182,2025,40,KESIM,308.1
900183,2025,40,MATBAA,196.5
900184,2025,40,MONTAJ,248.9
900185,2026,4,KESIM,634.7
900186,2026,4,MATBAA,372.8
900187,2026,4,PRES,578.1
