STOK_KODU,STOK_ADI,GRUP_KODU,GRUP_ADI,KOD_1,AD1,KOD_2,AD2,KOD_3,AD3,KOD_4,AD4,KOD_5,AD5
M00001,YUVARLAK KUTU 073-062 VERNIKLI 3 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA6,Bal-Reçel,073-062,Kalıp 073-062,B2,Vernikli,P3,3 Parça
M00002,YUVARLAK KUTU 099-084 VERNIKLI 3 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA1,Gıda,099-084,Kalıp 099-084,B2,Vernikli,P3,3 Parça
M00003,YUVARLAK KUTU 153-118 HAM TENEKE 2 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA3,Kozmetik,153-118,Kalıp 153-118,B3,Ham Teneke,P2,2 Parça
M00004,YUVARLAK-SIVAMA KUTU 066-048 MAT LAK 3 PARÇA,01,Mamul,SK02,Yuvarlak-Sivama Kutu,KA1,Gıda,066-048,Kalıp 066-048,B4,Mat Lak,P3,3 Parça
M00005,YUVARLAK-SIVAMA KUTU 088-071 MAT LAK 3 PARÇA,01,Mamul,SK02,Yuvarlak-Sivama Kutu,KA6,Bal-Reçel,088-071,Kalıp 088-071,B4,Mat Lak,P3,3 Parça
M00006,YUVARLAK-SIVAMA KUTU 112-096 VERNIKLI 3 PARÇA,01,Mamul,SK02,Yuvarlak-Sivama Kutu,KA3,Kozmetik,112-096,Kalıp 112-096,B2,Vernikli,P3,3 Parça
M00007,KARE KUTU 105-072 LITOGRAFI 3 PARÇA,01,Mamul,SK03,Kare Kutu,KA3,Kozmetik,105-072,Kalıp 105-072,B1,Litografi,P3,3 Parça
M00008,KARE KUTU 132-108 HAM TENEKE 2 PARÇA,01,Mamul,SK03,Kare Kutu,KA4,Hediyelik,132-108,Kalıp 132-108,B3,Ham Teneke,P2,2 Parça
M00009,KARE KUTU 168-142 HAM TENEKE 3 PARÇA,01,Mamul,SK03,Kare Kutu,KA3,Kozmetik,168-142,Kalıp 168-142,B3,Ham Teneke,P3,3 Parça
M00010,DIKDORTGEN KUTU 118-058 HAM TENEKE 3 PARÇA,01,Mamul,SK04,Dikdortgen Kutu,KA6,Bal-Reçel,118-058,Kalıp 118-058,B3,Ham Teneke,P3,3 Parça
M00011,DIKDORTGEN KUTU 156-082 LITOGRAFI 2 PARÇA,01,Mamul,SK04,Dikdortgen Kutu,KA4,Hediyelik,156-082,Kalıp 156-082,B1,Litografi,P2,2 Parça
M00012,DIKDORTGEN KUTU 192-124 VERNIKLI 3 PARÇA,01,Mamul,SK04,Dikdortgen Kutu,KA6,Bal-Reçel,192-124,Kalıp 192-124,B2,Vernikli,P3,3 Parça
M00013,OVAL KUTU 128-066 MAT LAK 3 PARÇA,01,Mamul,SK05,Oval Kutu,KA4,Hediyelik,128-066,Kalıp 128-066,B4,Mat Lak,P3,3 Parça
M00014,OVAL KUTU 164-092 MAT LAK 3 PARÇA,01,Mamul,SK05,Oval Kutu,KA4,Hediyelik,164-092,Kalıp 164-092,B4,Mat Lak,P3,3 Parça
M00015,OVAL KUTU 208-136 LITOGRAFI 2 PARÇA,01,Mamul,SK05,Oval Kutu,KA5,Endüstriyel,208-136,Kalıp 208-136,B1,Litografi,P2,2 Parça
M00016,ALTIGEN KUTU 096-054 MAT LAK 3 PARÇA,01,Mamul,SK06,Altıgen Kutu,KA3,Kozmetik,096-054,Kalıp 096-054,B4,Mat Lak,P3,3 Parça
M00017,ALTIGEN KUTU 122-078 LITOGRAFI 2 PARÇA,01,Mamul,SK06,Altıgen Kutu,KA6,Bal-Reçel,122-078,Kalıp 122-078,B1,Litografi,P2,2 Parça
M00018,ALTIGEN KUTU 148-102 MAT LAK 2 PARÇA,01,Mamul,SK06,Altıgen Kutu,KA1,Gıda,148-102,Kalıp 148-102,B4,Mat Lak,P2,2 Parça
M00019,SEKIZGEN KUTU 102-068 HAM TENEKE 3 PARÇA,01,Mamul,SK07,Sekizgen Kutu,KA2,Boya-Kimya,102-068,Kalıp 102-068,B3,Ham Teneke,P3,3 Parça
M00020,SEKIZGEN KUTU 138-094 LITOGRAFI 3 PARÇA,01,Mamul,SK07,Sekizgen Kutu,KA1,Gıda,138-094,Kalıp 138-094,B1,Litografi,P3,3 Parça
