TAKIPNO,ISEMRINO,STOK_KODU,SIPARIS_NO,SIPKONT,REFISEMRINO,TESLIM_TARIHI,KAPATILDI,OPKODU,MAKINE_ID,MAKINE_KODU,VERIMLILIK,VERIMTAKIP,ISTKODU,ISTISIM,STHAR_CARIKOD,MAMUL,STOK_ADI,KOD_1,KOD_4,PARCA,KALIP,YIL,HAFTA,URETIM,FIRE,GERC_ARIZA,GERC_HATBOS,GERC_ISLEM,GERC_HAZIRLIK,TEO_ISLEM,TEO_HAZIRLIK_TAKIPSIZ,TEO_HAZIRLIK_TAKIPLI,DURUM_ADI,FIREORANI_MINFIRE,FIREORANI_URETIM
900001,IE25900001,M00002,SIP25005153,3,RF900001,2025-11-19,E,OP01,29,KSM-06,1.0747,H,KSM,KESIM,120.01.0016,TEPSI 325-125 MAT LAK 3 PARÇA,TEPSI 325-125 MAT LAK 3 PARÇA,SK11,B4,3 Parça,325-125,2025,46,11845,250,0,15.5,103.4,98.2,93.2,78.6,93.3,TAMAMLANDI,0.0129,0.0207
900002,IE25900002,M00002,SIP25005153,3,RF900002,2025-11-26,E,OP02,30,MTB-01,0.9397,H,MTB,MATBAA,120.01.0016,TEPSI 325-125 MAT LAK 3 PARÇA,TEPSI 325-125 MAT LAK 3 PARÇA,SK11,B4,3 Parça,325-125,2025,46,12390,96,59.9,0,46.6,139.8,48.8,111.8,132.8,TAMAMLANDI,0.0062,0.0077
900003,IE25900003,M00002,SIP25005153,3,RF900003,2025-12-07,E,OP03,47,MNT-13,0.6431,E,MNT,MONTAJ,120.01.0016,TEPSI 325-125 MAT LAK 3 PARÇA,TEPSI 325-125 MAT LAK 3 PARÇA,SK11,B4,3 Parça,325-125,2025,46,12559,59,0,15.7,99.8,55.3,104.5,44.2,52.5,TAMAMLANDI,0.0032,0.0047
900004,IE25900004,M00016,SIP25004337,1,RF900004,2025-08-30,E,OP01,25,KSM-02,0.9114,H,KSM,KESIM,120.01.0080,YUVARLAK-SIVAMA KUTU Ø068 HAM TENEKE 2 PARÇA,YUVARLAK-SIVAMA KUTU Ø068 HAM TENEKE 2 PARÇA,SK02,B3,2 Parça,DIA-068,2025,30,4834,103,39.9,5.5,33.7,134.2,31.7,107.4,127.5,TAMAMLANDI,0.0139,0.021
900005,IE25900005,M00016,SIP25004337,1,RF900005,2025-08-30,E,OP02,45,DJT-01,0.5599,H,DJT,DIJITAL,120.01.0080,YUVARLAK-SIVAMA KUTU Ø068 HAM TENEKE 2 PARÇA,YUVARLAK-SIVAMA KUTU Ø068 HAM TENEKE 2 PARÇA,SK02,B3,2 Parça,DIA-068,2025,30,4781,130,83.8,16.6,24,115.9,23,92.7,110.1,TAMAMLANDI,0.0254,0.0266
900006,IE25900006,M00016,SIP25004337,1,RF900006,2025-08-18,E,OP03,17,PRS-17,1.1027,E,PRS,PRES,120.01.0080,YUVARLAK-SIVAMA KUTU Ø068 HAM TENEKE 2 PARÇA,YUVARLAK-SIVAMA KUTU Ø068 HAM TENEKE 2 PARÇA,SK02,B3,2 Parça,DIA-068,2025,31,4961,22,66.2,8.9,21.9,27.8,19.9,22.2,26.4,TAMAMLANDI,0.0036,0.0043
900007,IE25900007,M00016,SIP25004337,1,RF900007,2025-09-03,E,OP04,35,MNT-03,0.6239,E,MNT,MONTAJ,120.01.0080,YUVARLAK-SIVAMA KUTU Ø068 HAM TENEKE 2 PARÇA,YUVARLAK-SIVAMA KUTU Ø068 HAM TENEKE 2 PARÇA,SK02,B3,2 Parça,DIA-068,2025,31,4984,16,16.2,33.8,27.7,61.2,23.4,49,58.1,TAMAMLANDI,0.0026,0.0033
900008,IE26900008,M00001,SIP26005726,4,RF900008,2026-04-02,E,OP01,28,KSM-05,0.9356,H,KSM,KESIM,120.01.0098,KAPAK 090-065 HAM TENEKE 2 PARÇA,KAPAK 090-065 HAM TENEKE 2 PARÇA,SK12,B3,2 Parça,090-065,2026,10,3007,72,6,0,11.7,107.5,10.8,86,102.1,TAMAMLANDI,0.0192,0.0232
900009,IE26900009,M00001,SIP26005726,4,RF900009,2026-03-31,E,OP02,20,PRS-20,0.8744,E,PRS,PRES,120.01.0098,KAPAK 090-065 HAM TENEKE 2 PARÇA,KAPAK 090-065 HAM TENEKE 2 PARÇA,SK12,B3,2 Parça,090-065,2026,11,3090,38,0,12.4,10.1,122.4,8.4,97.9,116.3,TAMAMLANDI,0.0083,0.0122
900010,IE26900010,M00001,SIP26005726,4,RF900010,2026-03-20,E,OP03,35,MNT-03,0.7083,E,MNT,MONTAJ,120.01.0098,KAPAK 090-065 HAM TENEKE 2 PARÇA,KAPAK 090-065 HAM TENEKE 2 PARÇA,SK12,B3,2 Parça,090-065,2026,11,2984,109,12.4,0,11.1,18.8,8.8,15,17.9,TAMAMLANDI,0.0291,0.0352
900015,IE26900015,M00097,SIP26005566,1,RF900015,2026-02-01,E,OP01,25,KSM-02,0.888,H,KSM,KESIM,120.01.0001,YUVARLAK KUTU Ø050 MAT LAK 2 PARÇA,YUVARLAK KUTU Ø050 MAT LAK 2 PARÇA,SK01,B4,2 Parça,DIA-050,2026,3,709,19,71.9,8.2,3.5,92.4,3.3,73.9,87.8,TAMAMLANDI,0.0216,0.0259
900016,IE26900016,M00097,SIP26005566,1,RF900016,2026-02-18,E,OP02,30,MTB-01,1.082,H,MTB,MATBAA,120.01.0001,YUVARLAK KUTU Ø050 MAT LAK 2 PARÇA,YUVARLAK KUTU Ø050 MAT LAK 2 PARÇA,SK01,B4,2 Parça,DIA-050,2026,4,724,23,0,16.2,5.1,109.6,5.3,87.7,104.1,TAMAMLANDI,0.0295,0.0301
900017,IE26900017,M00097,SIP26005566,1,RF900017,2026-02-21,E,OP03,7,PRS-07,0.7374,E,PRS,PRES,120.01.0001,YUVARLAK KUTU Ø050 MAT LAK 2 PARÇA,YUVARLAK KUTU Ø050 MAT LAK 2 PARÇA,SK01,B4,2 Parça,DIA-050,2026,4,713,8,6.7,20.2,3.5,48.6,3.3,38.9,46.2,TAMAMLANDI,0.0092,0.0103
900018,IE26900018,M00097,SIP26005566,1,RF900018,2026-02-07,E,OP04,39,MNT-07,1.0946,E,MNT,MONTAJ,120.01.0001,YUVARLAK KUTU Ø050 MAT LAK 2 PARÇA,YUVARLAK KUTU Ø050 MAT LAK 2 PARÇA,SK01,B4,2 Parça,DIA-050,2026,4,723,28,0,21.2,4.3,80.2,3.5,64.2,76.2,TAMAMLANDI,0.0235,0.0371
900019,IE25900019,M00022,STK25000709,1,RF900019,2025-11-01,E,OP01,24,KSM-01,1.0516,H,KSM,KESIM,120.01.0106,SEKIZGEN KUTU 135-145 VERNIKLI 2 PARÇA,SEKIZGEN KUTU 135-145 VERNIKLI 2 PARÇA,SK07,B2,2 Parça,135-145,2025,42,1405,37,26.1,29.5,6.2,55.5,6,44.4,52.7,TAMAMLANDI,0.0215,0.0254
