CARI_KOD,CARI_AD,ULKE_KODU,ULKEADI,GRUP_KODU,SEKTOR,RAPOR_KODU1,BOLGE,RAPOR_KODU2,SEKTOR2,RAPOR_KODU3,CARI_TEMSILCI,DEPARTMAN,CARI_TIPI,MUSTERI_YERI
120.01.0001,Ardıçlı Boya San. Tic. Ltd. Şti.,TR,TÜRKİYE,MG1,Endüstriyel,R1-1,Doğu Anadolu,R2-4,İhracatçı,R3-2,Bahar Ö.,YURTICI,MUSTERI,Kocaeli
120.01.0002,Alaçatı Endüstri San. ve Tic. A.Ş.,TR,TÜRKİYE,MG1,Endüstriyel,R1-6,Akdeniz,R2-3,İhracatçı,R3-4,Nurhan T.,YURTICI,MUSTERI,Kayseri
120.01.0003,Ovacıklı Bal Koll. Şti.,TR,TÜRKİYE,MG1,Hediyelik,R1-3,Karadeniz,R2-1,Toptancı,R3-3,Bahar Ö.,YURTICI,MUSTERI,Ankara
120.01.0004,Berkant Reçel A.Ş.,TR,TÜRKİYE,MG1,Zeytin-Zeytinyağı,R1-4,Karadeniz,R2-4,Toptancı,R3-3,Nurhan T.,YURTICI,MUSTERI,İstanbul
120.01.0005,Casa Verde S.A.,SE,İSVEÇ,MG2,Boya-Kimya,R1-7,Avrupa,R2-1,Zincir Market,R3-4,Elif S.,YURTDISI,MUSTERI,İsveç
120.01.0006,Umutlu Konserve A.Ş.,TR,TÜRKİYE,MG1,Zeytin-Zeytinyağı,R1-4,Güneydoğu,R2-3,Fason Üretici,R3-4,Selim K.,YURTICI,MUSTERI,Bursa
120.01.0007,Marmarist Tarım Ltd. Şti.,TR,TÜRKİYE,MG1,Hediyelik,R1-3,Karadeniz,R2-6,Zincir Market,R3-1,Bahar Ö.,YURTICI,MUSTERI,Samsun
120.01.0008,Vadiköy Salça San. Tic. Ltd. Şti.,TR,TÜRKİYE,MG1,Hediyelik,R1-8,Güneydoğu,R2-5,Marka Sahibi,R3-1,Nurhan T.,YURTICI,MUSTERI,Kocaeli
120.01.0009,Ardıçlı Endüstri Koll. Şti.,TR,TÜRKİYE,MG1,Süt Ürünleri,R1-7,Güneydoğu,R2-5,Marka Sahibi,R3-4,Cem A.,YURTICI,MUSTERI,Balıkesir
120.01.0010,Erikçi Zeytin A.Ş.,TR,TÜRKİYE,MG1,Bal-Reçel,R1-5,Güneydoğu,R2-3,Marka Sahibi,R3-3,Nurhan T.,YURTICI,MUSTERI,Mersin
