CARI_KOD,SON_TARIH,ALACAK_TL,BORC_TL,BAKIYE_TL,KUR,SONGUNKU_KUR,DURUM,BAKIYE_USD,MUTLAK_USD
120.01.0001,2026-07-02,134645973.8,903084.48,133742889.32,47.6,47.6,ALACAK,2809724.57,2809724.57
120.01.0002,2026-03-11,78516654.26,12060470.5,66456183.76,45.2667,47.6,ALACAK,1396138.31,1396138.31
120.01.0003,2026-01-06,83423847.57,3059872.1,80363975.47,44.1,47.6,ALACAK,1688318.81,1688318.81
120.01.0004,2026-07-11,2674869.75,10794290.87,-8119421.12,47.6,47.6,BORC,-170576.07,170576.07
120.01.0005,2026-05-05,37812195.69,2906263.87,34905931.82,46.4333,47.6,ALACAK,733317.9,733317.9
120.01.0006,2026-01-16,19620196.49,3357407.85,16262788.64,44.1,47.6,ALACAK,341655.22,341655.22
120.01.0007,2025-12-15,50888603.31,2835524.06,48053079.25,43.45,47.6,ALACAK,1009518.47,1009518.47
120.01.0008,2025-12-13,329214.24,6014403.15,-5685188.91,43.45,47.6,BORC,-119436.74,119436.74
120.01.0009,2026-01-17,10449780.25,719818.58,9729961.67,44.1,47.6,ALACAK,204410.96,204410.96
120.01.0010,2026-06-02,30373761.32,42163.01,30331598.31,47.0167,47.6,ALACAK,637218.45,637218.45
120.01.0011,2026-07-16,40565823.99,3180626.96,37385197.03,47.6,47.6,ALACAK,785403.3,785403.3
120.01.0012,2025-12-18,12516823.73,2031215.47,10485608.26,43.45,47.6,ALACAK,220285.89,220285.89
120.01.0013,2026-02-05,11226460.24,1831319.02,9395141.22,44.6833,47.6,ALACAK,197376.92,197376.92
120.01.0014,2026-07-28,17235576.1,653804.37,16581771.73,47.6,47.6,ALACAK,348356.55,348356.55
120.01.0015,2026-03-10,26472773.35,1986853.79,24485919.56,45.2667,47.6,ALACAK,514410.07,514410.07
120.01.0016,2026-06-05,7299133.73,2403033.76,4896099.97,47.0167,47.6,ALACAK,102859.24,102859.24
120.01.0017,2026-05-09,7166270.07,2919930.24,4246339.83,46.4333,47.6,ALACAK,89208.82,89208.82
120.01.0018,2026-01-21,1330708.41,9708112.97,-8377404.56,44.1,47.6,BORC,-175995.89,175995.89
120.01.0019,2026-04-11,10274002.52,1896878.3,8377124.22,45.85,47.6,ALACAK,175990,175990
120.01.0020,2025-12-23,17710106.7,1408414.03,16301692.67,43.45,47.6,ALACAK,342472.54,342472.54
120.01.0021,2026-02-08,12075618.42,8976.34,12066642.08,44.6833,47.6,ALACAK,253500.88,253500.88
120.01.0022,2026-07-05,13790306.13,1284544.25,12505761.88,47.6,47.6,ALACAK,262726.09,262726.09
