STOK_KODU,STHAR_CARIKOD,FISNO,STHAR_TARIH,STHAR_GCMIK,STHAR_GCMIK2,STHAR_NF,STHAR_GCKOD,DOLAR_KURU,TUTAR_USD,YIL,AY,STHAR_SIPNUM,STRA_SIPKONT,SIP_INC,AY_BASLANGICI,SIPARIS_TEMSILCISI,TEMSILCI_GRUP
M00002,120.01.0129,FT23500001,2023-01-31,288,6,248.6938,4,18.8,3809.7774,2023,1,SIP23000001,1,100001,2023-01-01,Deniz Y.,YURT_DISI
M00071,120.01.0101,FT23500002,2023-01-29,12000,120,27.0289,4,18.8,17252.4894,2023,1,SIP23000002,1,100002,2023-01-01,Selim K.,YURT_ICI
M00009,120.01.0056,FT23500003,2023-01-20,720,12,157.3794,4,18.8,6027.2962,2023,1,SIP23000003,1,100003,2023-01-01,Nurhan T.,YURT_ICI
M00033,120.01.0056,FT23500004,2023-02-11,1200,12,110.6716,4,20.0167,6634.756,2023,2,SIP23000003,2,100004,2023-02-01,Nurhan T.,YURT_ICI
M00011,120.01.0056,FT23500005,2023-01-15,20000,200,244.679,4,18.8,260296.8085,2023,1,SIP23000003,3,100005,2023-01-01,Nurhan T.,YURT_ICI
M00006,120.01.0043,FT23500006,2023-02-08,2000,20,57.4026,4,20.0167,5735.4709,2023,2,SIP23000004,1,100006,2023-02-01,Deniz Y.,YURT_DISI
M00048,120.01.0043,FT23500007,2023-02-01,1200,12,187.8288,4,20.0167,11260.3256,2023,2,SIP23000004,2,100007,2023-02-01,Deniz Y.,YURT_DISI
M00010,120.01.0043,FT23500008,2023-02-05,12000,200,253.5849,4,20.0167,152024,2023,2,SIP23000004,3,100008,2023-02-01,Deniz Y.,YURT_DISI
M00002,120.01.0043,FT23500009,2023-02-08,288,6,306.7704,4,20.0167,4413.8082,2023,2,SIP23000004,4,100009,2023-02-01,Deniz Y.,YURT_DISI
M00002,120.01.0002,FT23500010,2023-01-25,9600,200,303.4253,4,18.8,154940.5787,2023,1,STK23000001,1,100010,2023-01-01,Nurhan T.,YURT_ICI
M00097,120.01.0011,FT23500011,2023-02-15,72,6,211.493,4,20.0167,760.7396,2023,2,SIP23000005,1,100011,2023-02-01,Bahar Ö.,YURT_ICI
M00150,120.01.0011,FT23500012,2023-02-15,12000,200,204.5214,4,20.0167,122610.4603,2023,2,SIP23000005,2,100012,2023-02-01,Bahar Ö.,YURT_ICI
M00059,120.01.0011,FT23500013,2023-01-22,240,20,50.7118,4,18.8,647.3847,2023,1,SIP23000005,3,100013,2023-01-01,Bahar Ö.,YURT_ICI
M00027,120.01.0011,FT23500014,2023-02-16,9600,200,124.823,4,20.0167,59865.0527,2023,2,SIP23000005,4,100014,2023-02-01,Bahar Ö.,YURT_ICI
M00003,120.01.0047,FT23500015,2023-01-30,1200,20,140.7114,4,18.8,8981.5787,2023,1,SIP23000006,1,100015,2023-01-01,Selim K.,YURT_ICI
M00010,120.01.0050,FT23500016,2023-01-13,360,6,236.8007,4,18.8,4534.4815,2023,1,SIP23000007,1,100016,2023-01-01,Nurhan T.,YURT_ICI
M00001,120.01.0050,FT23500017,2023-02-02,1440,120,184.797,4,20.0167,13294.2833,2023,2,STKB23000001,1,100017,2023-02-01,Nurhan T.,YURT_ICI
M00016,120.01.0009,FT23500018,2023-01-29,5760,120,237.0351,4,18.8,72623.52,2023,1,SIP23000008,1,100018,2023-01-01,Cem A.,YURT_ICI
