INCKEYNO,STHAR_TARIH,FISNO,SIRA,STOK_KODU,STHAR_CARIKOD,STHAR_GCMIK,STHAR_NF,ALINAN,STHAR_HTUR,TERMIN,SIPARIS_TARIHINDEN_GECEN_GUN,TERMINE_KALAN_GUN,KALAN,STHAR_GCKOD,DOLAR_KURU,STHAR_KOD1,STHAR_KOD2,TUTAR_USD,DURUM,YIL,AY,HAFTA
700001,2023-01-02,SAS23000001,1,D00003,320.01.0008,1000,164.6704,1000,YERLİ,2023-03-03,1305,,0,2,18.8,03,DG1,8759.0638,KAPALI,2023,1,1
700002,2023-01-02,SAS23000002,1,H00014,320.01.0005,1000,54.6007,1000,İTHAL,2023-04-02,1305,,0,2,18.8,02,HM1,2904.2926,KAPALI,2023,1,1
700003,2023-01-03,SAS23000003,1,D00011,320.01.0002,250,46.3166,250,YERLİ,2023-04-03,1304,,0,2,18.8,03,DG1,615.9122,KAPALI,2023,1,1
700004,2023-01-03,SAS23000004,1,D00004,320.01.0048,500,14.0433,500,YERLİ,2023-02-02,1304,,0,2,18.8,03,DG1,373.492,KAPALI,2023,1,1
700005,2023-01-03,SAS23000004,2,H00014,320.01.0048,1000,48.1629,1000,YERLİ,2023-01-24,1304,,0,2,18.8,02,HM1,2561.8564,KAPALI,2023,1,1
700006,2023-01-03,SAS23000004,3,H00015,320.01.0048,500,14.421,500,YERLİ,2023-03-04,1304,,0,2,18.8,02,HM1,383.5372,KAPALI,2023,1,1
700007,2023-01-03,SAS23000005,1,D00001,320.01.0004,500,148.1728,500,YERLİ,2023-04-03,1304,,0,2,18.8,03,DG1,3940.766,KAPALI,2023,1,1
700008,2023-01-03,SAS23000006,1,D00004,320.01.0006,250,12.4345,250,YERLİ,2023-03-04,1304,,0,2,18.8,03,DG1,165.3524,KAPALI,2023,1,1
700009,2023-01-04,SAS23000007,1,D00010,320.01.0001,2000,166.5973,2000,YERLİ,2023-01-25,1303,,0,2,18.8,03,DG1,17723.117,KAPALI,2023,1,1
700010,2023-01-04,SAS23000007,2,H00007,320.01.0001,2000,55.242,2000,YERLİ,2023-01-25,1303,,0,2,18.8,02,HM1,5876.8085,KAPALI,2023,1,1
700011,2023-01-04,SAS23000008,1,H00011,320.01.0007,120,28.5813,120,İTHAL,2023-01-25,1303,,0,2,18.8,02,HM1,182.4338,KAPALI,2023,1,1
700012,2023-01-04,SAS23000009,1,D00004,320.01.0052,2000,13.2327,2000,YERLİ,2023-01-19,1303,,0,2,18.8,03,DG1,1407.734,KAPALI,2023,1,1
700013,2023-01-04,SAS23000009,2,D00002,320.01.0052,500,90.2709,500,YERLİ,2023-04-04,1303,,0,2,18.8,03,DG1,2400.8218,KAPALI,2023,1,1
700014,2023-01-04,SAS23000010,1,H00014,320.01.0018,500,55.7096,500,İTHAL,2023-03-05,1303,,0,2,18.8,02,HM1,1481.6383,KAPALI,2023,1,1
