STOK_KODU,CARI_KOD,FISNO,TARIH,MIKTAR1,MIKTAR2,NET_FIYAT,STHAR_GCKOD,STHAR_HTUR,DOLAR_KURU,STHAR_ACIKLAMA,EKALAN,EKALAN1,TUTAR_USD,ODE_GUN,YIL,AY,HAFTA
H00008,320.01.0002,IRS23700001,2023-02-26,10000,10,37.2068,1,YERLİ,20.0167,Sevk irsaliyesi,E,,18587.8791,90,2023,2,8
D00008,320.01.0002,IRS23700002,2023-03-05,5000,5000,180.5128,1,YERLİ,21.2333,Numune kabul,H,Şartlı kabul,42507.0055,90,2023,3,9
H00016,320.01.0032,IRS23700003,2023-01-24,250,250,43.4202,1,YERLİ,18.8,Kısmi teslim,H,Kalite onaylı,577.3963,45,2023,1,4
H00012,320.01.0046,IRS23700004,2023-04-01,1000,1000,18.9311,1,YERLİ,22.45,Mal kabul,H,Şartlı kabul,843.2561,0,2023,4,13
H00005,320.01.0046,IRS23700005,2023-03-11,10000,10,34.1317,1,YERLİ,21.2333,Sevk irsaliyesi,E,,16074.6092,90,2023,3,10
D00005,320.01.0002,IRS23700006,2023-01-16,250,250,179.7126,1,YERLİ,18.8,Kısmi teslim,E,Şartlı kabul,2389.7952,90,2023,1,3
H00011,320.01.0010,IRS23700007,2023-03-16,120,0.12,20.0064,1,YERLİ,21.2333,Kısmi teslim,H,Kalite onaylı,113.0662,45,2023,3,11
D00010,320.01.0032,IRS23700008,2023-01-13,10000,10000,107.931,1,YERLİ,18.8,Mal kabul,E,,57410.1064,30,2023,1,2
D00008,320.01.0032,IRS23700009,2023-02-14,120,120,189.8722,1,YERLİ,20.0167,Mal kabul,H,Kalite onaylı,1138.2827,60,2023,2,7
D00011,320.01.0001,IRS23700010,2023-04-02,125,125,5.3424,1,YERLİ,22.45,Sevk irsaliyesi,H,Şartlı kabul,29.7461,90,2023,4,13
D00002,320.01.0001,IRS23700011,2023-01-28,500,500,34.6145,1,YERLİ,18.8,Sevk irsaliyesi,E,,920.5984,45,2023,1,4
H00012,320.01.0027,IRS23700012,2023-01-20,1000,1000,15.6404,1,YERLİ,18.8,Sevk irsaliyesi,H,Kalite onaylı,831.9362,45,2023,1,3
D00002,320.01.0027,IRS23700013,2023-01-18,2000,2000,37.824,1,YERLİ,18.8,Mal kabul,E,,4023.8298,30,2023,1,3
D00005,320.01.0043,IRS23700014,2023-01-21,250,250,154.1824,1,İTHAL,18.8,Sevk irsaliyesi,H,Şartlı kabul,2050.2979,0,2023,1,3
D00009,320.01.0006,IRS23700015,2023-02-24,500,500,124.3227,1,YERLİ,20.0167,İthalat dosyası,H,Şartlı kabul,3105.4744,45,2023,2,8
H00004,320.01.0002,IRS23700016,2023-02-27,500,0.5,38.358,1,YERLİ,20.0167,Kısmi teslim,E,,958.1499,45,2023,2,9
H00011,320.01.0002,IRS23700017,2023-03-13,250,0.25,22.188,1,YERLİ,21.2333,Mal kabul,H,Kalite onaylı,261.2406,30,2023,3,11
D00007,320.01.0002,IRS23700018,2023-01-24,5000,5000,44.0795,1,YERLİ,18.8,Mal kabul,E,Kalite onaylı,11723.2713,90,2023,1,4
H00003,320.01.0020,IRS23700019,2023-02-05,10000,10,45.5491,1,YERLİ,20.0167,Sevk irsaliyesi,E,,22755.5491,60,2023,2,5
H00002,320.01.0020,IRS23700020,2023-01-29,500,0.5,11.4093,1,YERLİ,18.8,Mal kabul,H,Kalite onaylı,303.4388,60,2023,1,4
H00003,320.01.0037,IRS23700021,2023-02-21,250,0.25,44.8003,1,İTHAL,20.0167,Kısmi teslim,H,,559.5365,45,2023,2,8
H00008,320.01.0037,IRS23700022,2023-03-19,120,0.12,35.7008,1,İTHAL,21.2333,Numune kabul,H,Şartlı kabul,201.7631,60,2023,3,11
H00014,320.01.0004,IRS23700023,2023-03-07,250,0.25,21.7061,1,YERLİ,21.2333,Sevk irsaliyesi,E,Şartlı kabul,255.5667,60,2023,3,10
D00011,320.01.0009,IRS23700024,2023-03-15,10000,10000,5.0721,1,YERLİ,21.2333,Mal kabul,E,Kalite onaylı,2388.7479,0,2023,3,11
