INCKEYNO,STHAR_TARIH,FISNO,SIRA,STOK_KODU,STHAR_CARIKOD,STHAR_GCMIK,STHAR_NF,GONDERILEN,KALAN,SIPARIS_TEMSILCI,DEPARTMAN,STHAR_GCKOD,DOLAR_KURU,STHAR_KOD1,STHAR_KOD2,TUTAR_USD,DURUM,YIL,AY,HAFTA,ODEKOD,ODEME_ACIKLAMA,PESINAT_ORANI,VADE_GUNU,PESIN_TUTAR,VADELI_TUTAR,RPT,KACINCI_SIPARIS,MUSTERI_SIP_NO,TESLIM_YERI,EK_ACIKLAMA_1,EK_ACIKLAMA_2,EK_ACIKLAMA_3_MALZEME,EK_ACIKLAMA_4,EK_ACIKLAMA_5
100001,2023-01-02,SIP23000001,1,M00001,120.01.0002,20000,189.9939,20000,0,Cem A.,YURT_ICI,1,18.8,SK12,KA2,202121.1702,KAPALI,2023,1,1,OD08,Akreditif,0.2,75,40424.234,161696.9362,1,1,PO-92600,Liman Teslim (FOB),Geçme Kapak,100 adet/koli,"Teneke 0,18mm",Dökme,
100002,2023-01-02,SIP23000002,1,M00139,120.01.0008,12000,129.8971,12000,0,Selim K.,YURT_ICI,1,18.8,SK09,KA4,82913.0426,KAPALI,2023,1,1,OD05,%30 Peşin + 60 Gün,0.3,60,24873.9128,58039.1298,1,1,PO-83086,Müşteri Deposu,Kolay Açılır,100 adet/koli,"Krom 0,25mm",Dökme,
100003,2023-01-02,STK23000001,1,M00031,120.01.0007,5760,332.2741,5760,0,Deniz Y.,YURT_DISI,1,18.8,SK01,KA1,101803.1285,KAPALI,2023,1,1,OD04,90 Gün Vadeli,0,90,0,101803.1285,0,1,PO-68265,Müşteri Deposu,Kapaksız,48 adet/koli,"Teneke 0,18mm",Paletli,
100004,2023-01-02,SIP23000003,1,M00003,120.01.0020,1440,158.0346,1440,0,Nurhan T.,YURT_ICI,1,18.8,SK01,KA6,12104.7779,KAPALI,2023,1,1,OD05,%30 Peşin + 60 Gün,0.3,60,3631.4334,8473.3445,1,1,PO-71321,Liman Teslim (FOB),Geçme Kapak,12 adet/koli,"Krom 0,25mm",Paletli,
100005,2023-01-02,SIP23000003,2,M00114,120.01.0020,720,370.0778,720,0,Nurhan T.,YURT_ICI,1,18.8,SK01,KA3,14173.1923,KAPALI,2023,1,1,OD05,%30 Peşin + 60 Gün,0.3,60,4251.9577,9921.2346,1,1,PO-33080,Fabrika Teslim,Kolay Açılır,24 adet/koli,"Teneke 0,20mm",Kolili,Numune onaylı
100006,2023-01-02,SIP23000004,1,M00013,120.01.0045,2880,292.4977,2880,0,Nurhan T.,YURT_ICI,1,18.8,SK10,KA3,44808.1583,KAPALI,2023,1,1,OD03,60 Gün Vadeli,0,60,0,44808.1583,1,1,PO-45322,Fabrika Teslim,Geçme Kapak,24 adet/koli,"Teneke 0,20mm",Dökme,Numune onaylı
100007,2023-01-02,SIP23000004,2,M00003,120.01.0045,1440,152.4051,1440,0,Nurhan T.,YURT_ICI,1,18.8,SK01,KA6,11673.5821,KAPALI,2023,1,1,OD03,60 Gün Vadeli,0,60,0,11673.5821,1,1,PO-31208,Müşteri Deposu,Geçme Kapak,12 adet/koli,"Teneke 0,18mm",Kolili,Numune onaylı
100008,2023-01-02,SIP23000004,3,M00057,120.01.0045,576,51.8054,576,0,Nurhan T.,YURT_ICI,1,18.8,SK09,KA4,1587.2293,KAPALI,2023,1,1,OD03,60 Gün Vadeli,0,60,0,1587.2293,1,1,PO-18342,CIF Teslim,Vidalı Kapak,48 adet/koli,"Teneke 0,18mm",Kolili,
100009,2023-01-03,SIP23000005,1,M00001,120.01.0006,2000,172.7414,2000,0,Bahar Ö.,YURT_ICI,1,18.8,SK12,KA2,18376.7447,KAPALI,2023,1,1,OD04,90 Gün Vadeli,0,90,0,18376.7447,1,1,PO-81917,CIF Teslim,Geçme Kapak,100 adet/koli,"Krom 0,25mm",Paletli,Acil
100010,2023-01-03,SIP23000006,1,M00001,120.01.0039,20000,204.0104,20000,0,Bahar Ö.,YURT_ICI,1,18.8,SK12,KA2,217032.3404,KAPALI,2023,1,1,OD05,%30 Peşin + 60 Gün,0.3,60,65109.7021,151922.6383,1,1,PO-17749,Müşteri Deposu,Geçme Kapak,100 adet/koli,"Teneke 0,20mm",Kolili,Acil
100011,2023-01-03,SIP23000007,1,M00008,120.01.0028,12000,428.6729,12000,0,Bahar Ö.,YURT_ICI,1,18.8,SK01,KA2,273621,KAPALI,2023,1,1,OD03,60 Gün Vadeli,0,60,0,273621,1,1,PO-57369,Liman Teslim (FOB),Kolay Açılır,60 adet/koli,"Krom 0,25mm",Dökme,
100012,2023-01-03,SIP23000008,1,M00006,120.01.0002,5760,314.9596,5760,0,Cem A.,YURT_ICI,1,18.8,SK08,KA4,96498.2604,KAPALI,2023,1,1,OD01,Peşin,1,0,96498.2604,0,1,2,PO-62653,Fabrika Teslim,Geçme Kapak,48 adet/koli,"Teneke 0,18mm",Dökme,Acil
100013,2023-01-03,SIP23000009,1,M00036,120.01.0009,7200,197.5933,7200,0,Bahar Ö.,YURT_ICI,1,18.8,SK01,KA3,75674.0298,KAPALI,2023,1,1,OD04,90 Gün Vadeli,0,90,0,75674.0298,1,1,PO-65770,Fabrika Teslim,Kapaksız,60 adet/koli,"Teneke 0,18mm",Kolili,Numune onaylı
100014,2023-01-03,STKB23000001,1,M00005,120.01.0018,2400,131.5587,2400,0,Nurhan T.,YURT_ICI,1,18.8,SK04,KA3,16794.7277,KAPALI,2023,1,1,OD07,120 Gün Vadeli,0,120,0,16794.7277,1,1,PO-19980,CIF Teslim,Vidalı Kapak,48 adet/koli,"Teneke 0,22mm",Paletli,
100015,2023-01-04,STK23000002,1,M00003,120.01.0013,144,160.6786,144,0,Deniz Y.,YURT_DISI,1,18.8,SK01,KA6,1230.7297,KAPALI,2023,1,1,OD07,120 Gün Vadeli,0,120,0,1230.7297,0,1,PO-24683,Antrepo,Geçme Kapak,12 adet/koli,"Teneke 0,18mm",Kolili,
100016,2023-01-04,SIP23000010,1,M00001,120.01.0015,12000,182.695,12000,0,Selim K.,YURT_ICI,1,18.8,SK12,KA2,116613.8298,KAPALI,2023,1,1,OD01,Peşin,1,0,116613.8298,0,1,1,PO-14824,Fabrika Teslim,Geçme Kapak,100 adet/koli,"Krom 0,25mm",Kolili,
100017,2023-01-04,SIP23000011,1,M00003,120.01.0034,1440,158.6851,1440,0,Nurhan T.,YURT_ICI,1,18.8,SK01,KA6,12154.6034,KAPALI,2023,1,1,OD01,Peşin,1,0,12154.6034,0,1,1,PO-49687,Müşteri Deposu,Geçme Kapak,12 adet/koli,"Teneke 0,18mm",Dökme,
100018,2023-01-04,STK23000003,1,M00001,120.01.0009,20000,177.4796,20000,0,Bahar Ö.,YURT_ICI,1,18.8,SK12,KA2,188808.0851,KAPALI,2023,1,1,OD04,90 Gün Vadeli,0,90,0,188808.0851,1,2,PO-34086,CIF Teslim,Geçme Kapak,100 adet/koli,"Teneke 0,22mm",Dökme,Acil
100019,2023-01-04,SIP23000012,1,M00019,120.01.0034,5000,56.1259,5000,0,Nurhan T.,YURT_ICI,1,18.8,SK05,KA6,14927.1011,KAPALI,2023,1,1,OD05,%30 Peşin + 60 Gün,0.3,60,4478.1303,10448.9708,1,2,PO-99029,Fabrika Teslim,Vidalı Kapak,100 adet/koli,"Teneke 0,22mm",Dökme,
100020,2023-01-04,SIP23000012,2,M00003,120.01.0034,1440,167.1146,1440,0,Nurhan T.,YURT_ICI,1,18.8,SK01,KA6,12800.2672,KAPALI,2023,1,1,OD05,%30 Peşin + 60 Gün,0.3,60,3840.0802,8960.187,1,2,PO-42511,CIF Teslim,Geçme Kapak,12 adet/koli,"Teneke 0,18mm",Dökme,Numune onaylı
100021,2023-01-04,SIP23000013,1,M00051,120.01.0002,720,151.1024,496.65,223.35,Cem A.,YURT_ICI,1,18.8,SK02,KA5,5786.9004,ACIK,2023,1,1,OD04,90 Gün Vadeli,0,90,0,5786.9004,0,3,PO-83341,Antrepo,Vidalı Kapak,24 adet/koli,"Teneke 0,22mm",Dökme,Numune onaylı
100022,2023-01-05,SIP23000014,1,M00007,120.01.0004,3840,278.0736,3840,0,Bahar Ö.,YURT_ICI,1,18.8,SK04,KA5,56798.0119,KAPALI,2023,1,1,OD08,Akreditif,0.2,75,11359.6024,45438.4095,1,1,PO-94796,Müşteri Deposu,Kolay Açılır,48 adet/koli,"Teneke 0,22mm",Dökme,
100023,2023-01-06,SIP23000015,1,M00002,120.01.0003,2000,280.4221,2000,0,Pelin R.,BASKILI,1,18.8,SK11,KA5,29832.1383,KAPALI,2023,1,1,OD03,60 Gün Vadeli,0,60,0,29832.1383,1,1,PO-60982,Fabrika Teslim,Geçme Kapak,100 adet/koli,"Teneke 0,22mm",Dökme,Acil
