INCKEYNO,FISNO,SIRA,STHAR_TARIH,ODEKOD,OFSET,ORAN,ODEME_TARIHI,KDV_ORANI,ODEME_TUTARI_KDVLI_TL,ODEME_TUTARI_KDVLI_USD,BIRIM_FIYAT_TL,BIRIM_FIYAT_USD,ODEME_TUTARI_NET_TL,ODEME_TUTARI_NET_USD
100001,SIP23000001,1,2023-01-02,OD04,90,1,2023-04-02,0.2,85289.8637,4536.6949,246.7878,13.127,71074.8864,3780.5791
100002,SIP23000002,1,2023-01-02,OD03,60,1,2023-03-03,0.2,379224,20171.4894,26.335,1.4008,316020,16809.5745
100003,SIP23000003,1,2023-01-02,OD03,60,1,2023-03-03,0.2,134850.7872,7172.9142,156.0773,8.302,112375.656,5977.4285
100004,SIP23000003,2,2023-01-02,OD03,60,1,2023-03-03,0.2,157776.336,8392.3583,109.5669,5.828,131480.28,6993.6319
100005,SIP23000003,3,2023-01-02,OD03,60,1,2023-03-03,0.2,5868458.4,312152.0426,244.5191,13.0063,4890382,260126.7021
100006,SIP23000004,1,2023-01-02,OD06,0,0.5,2023-01-02,0.2,68638.8,3651,57.199,3.0425,57199,3042.5
100006,SIP23000004,1,2023-01-02,OD06,45,0.5,2023-02-16,0.2,68638.8,3651,57.199,3.0425,57199,3042.5
100007,SIP23000004,2,2023-01-02,OD06,0,0.5,2023-01-02,0.2,132223.68,7033.1745,183.644,9.7683,110186.4,5860.9787
100007,SIP23000004,2,2023-01-02,OD06,45,0.5,2023-02-16,0.2,132223.68,7033.1745,183.644,9.7683,110186.4,5860.9787
100008,SIP23000004,3,2023-01-02,OD06,0,0.5,2023-01-02,0.2,1814797.44,96531.7787,252.0552,13.4072,1512331.2,80443.1489
100008,SIP23000004,3,2023-01-02,OD06,45,0.5,2023-02-16,0.2,1814797.44,96531.7787,252.0552,13.4072,1512331.2,80443.1489
100009,SIP23000004,4,2023-01-02,OD06,0,0.5,2023-01-02,0.2,53107.8682,2824.8866,307.3372,16.3477,44256.5568,2354.0722
100009,SIP23000004,4,2023-01-02,OD06,45,0.5,2023-02-16,0.2,53107.8682,2824.8866,307.3372,16.3477,44256.5568,2354.0722
100010,STK23000001,1,2023-01-02,OD08,0,0.2,2023-01-02,0.2,683320.32,36346.8255,296.58,15.7755,569433.6,30289.0213
100010,STK23000001,1,2023-01-02,OD08,45,0.4,2023-02-16,0.2,1366640.64,72693.6511,296.58,15.7755,1138867.2,60578.0426
100010,STK23000001,1,2023-01-02,OD08,90,0.4,2023-04-02,0.2,1366640.64,72693.6511,296.58,15.7755,1138867.2,60578.0426
100011,SIP23000005,1,2023-01-03,OD06,0,0.5,2023-01-03,0.2,9019.2528,479.7475,208.779,11.1053,7516.044,399.7896
100011,SIP23000005,1,2023-01-03,OD06,45,0.5,2023-02-17,0.2,9019.2528,479.7475,208.779,11.1053,7516.044,399.7896
100012,SIP23000005,2,2023-01-03,OD06,0,0.5,2023-01-03,0.2,1474804.8,78447.0638,204.834,10.8954,1229004,65372.5532
100012,SIP23000005,2,2023-01-03,OD06,45,0.5,2023-02-17,0.2,1474804.8,78447.0638,204.834,10.8954,1229004,65372.5532
100013,SIP23000005,3,2023-01-03,OD06,0,0.5,2023-01-03,0.2,7152.9696,380.4771,49.6734,2.6422,5960.808,317.0643
100013,SIP23000005,3,2023-01-03,OD06,45,0.5,2023-02-17,0.2,7152.9696,380.4771,49.6734,2.6422,5960.808,317.0643
100014,SIP23000005,4,2023-01-03,OD06,0,0.5,2023-01-03,0.2,703354.752,37412.4868,122.1102,6.4952,586128.96,31177.0723
100014,SIP23000005,4,2023-01-03,OD06,45,0.5,2023-02-17,0.2,703354.752,37412.4868,122.1102,6.4952,586128.96,31177.0723
100015,SIP23000006,1,2023-01-03,OD03,60,1,2023-03-04,0.2,199722.384,10623.5311,138.6961,7.3775,166435.32,8852.9426
100016,SIP23000007,1,2023-01-03,OD03,60,1,2023-03-04,0.2,102590.1072,5456.9206,237.4771,12.6318,85491.756,4547.4338
100017,STKB23000001,1,2023-01-03,OD05,0,0.3,2023-01-03,0.2,95543.4528,5082.0986,184.3045,9.8034,79619.544,4235.0821
100017,STKB23000001,1,2023-01-03,OD05,60,0.7,2023-03-04,0.2,222934.7232,11858.23,184.3045,9.8034,185778.936,9881.8583
100018,SIP23000008,1,2023-01-03,OD04,90,1,2023-04-03,0.2,1633505.3568,86888.5828,236.3289,12.5707,1361254.464,72407.1523
100019,SIP23000009,1,2023-01-03,OD08,0,0.2,2023-01-03,0.2,251297.7408,13366.9011,272.6755,14.504,209414.784,11139.0843
100019,SIP23000009,1,2023-01-03,OD08,45,0.4,2023-02-17,0.2,502595.4816,26733.8022,272.6755,14.504,418829.568,22278.1685
100019,SIP23000009,1,2023-01-03,OD08,90,0.4,2023-04-03,0.2,502595.4816,26733.8022,272.6755,14.504,418829.568,22278.1685
100020,SIP23000009,2,2023-01-03,OD08,0,0.2,2023-01-03,0.2,925835.616,49246.5753,321.4707,17.0995,771529.68,41038.8128
100020,SIP23000009,2,2023-01-03,OD08,45,0.4,2023-02-17,0.2,1851671.232,98493.1506,321.4707,17.0995,1543059.36,82077.6255
100020,SIP23000009,2,2023-01-03,OD08,90,0.4,2023-04-03,0.2,1851671.232,98493.1506,321.4707,17.0995,1543059.36,82077.6255
100021,SIP23000009,3,2023-01-03,OD08,0,0.2,2023-01-03,0.2,36928.8864,1964.3025,128.2253,6.8205,30774.072,1636.9187
100021,SIP23000009,3,2023-01-03,OD08,45,0.4,2023-02-17,0.2,73857.7728,3928.6049,128.2253,6.8205,61548.144,3273.8374
100021,SIP23000009,3,2023-01-03,OD08,90,0.4,2023-04-03,0.2,73857.7728,3928.6049,128.2253,6.8205,61548.144,3273.8374
100022,SIP23000010,1,2023-01-03,OD01,0,1,2023-01-03,0.2,526688.1792,28015.3287,304.7964,16.2126,438906.816,23346.1072
100023,SIP23000011,1,2023-01-04,OD08,0,0.2,2023-01-04,0.2,12286.55,653.5399,88.8784,4.7276,10238.7917,544.6166
100023,SIP23000011,1,2023-01-04,OD08,45,0.4,2023-02-18,0.2,24573.1001,1307.0798,88.8784,4.7276,20477.5834,1089.2332
100023,SIP23000011,1,2023-01-04,OD08,90,0.4,2023-04-04,0.2,24573.1001,1307.0798,88.8784,4.7276,20477.5834,1089.2332
100024,SIP23000011,2,2023-01-04,OD08,0,0.2,2023-01-04,0.2,115268.928,6131.326,60.0359,3.1934,96057.44,5109.4383
100024,SIP23000011,2,2023-01-04,OD08,45,0.4,2023-02-18,0.2,230537.856,12262.6519,60.0359,3.1934,192114.88,10218.8766
100024,SIP23000011,2,2023-01-04,OD08,90,0.4,2023-04-04,0.2,230537.856,12262.6519,60.0359,3.1934,192114.88,10218.8766
100025,SIP23000011,3,2023-01-04,OD08,0,0.2,2023-01-04,0.2,63488.736,3377.0604,220.447,11.7259,52907.28,2814.217
100025,SIP23000011,3,2023-01-04,OD08,45,0.4,2023-02-18,0.2,126977.472,6754.1209,220.447,11.7259,105814.56,5628.434
100025,SIP23000011,3,2023-01-04,OD08,90,0.4,2023-04-04,0.2,126977.472,6754.1209,220.447,11.7259,105814.56,5628.434
100026,SIP23000011,4,2023-01-04,OD08,0,0.2,2023-01-04,0.2,116809.5744,6213.2752,202.7944,10.7869,97341.312,5177.7294
100026,SIP23000011,4,2023-01-04,OD08,45,0.4,2023-02-18,0.2,233619.1488,12426.5505,202.7944,10.7869,194682.624,10355.4587
100026,SIP23000011,4,2023-01-04,OD08,90,0.4,2023-04-04,0.2,233619.1488,12426.5505,202.7944,10.7869,194682.624,10355.4587
100027,SIP23000012,1,2023-01-04,OD02,30,1,2023-02-03,0.2,252778.4928,13445.6645,292.5677,15.5621,210648.744,11204.7204
100028,SIP23000013,1,2023-01-04,OD08,0,0.2,2023-01-04,0.2,20465.6659,1088.5992,355.3067,18.8993,17054.7216,907.166
