STOK_KODU,STOK_ADI,GRUP_KODU,GRUP_ADI,KOD_1,AD1,KOD_2,AD2,KOD_3,AD3,KOD_4,AD4,KOD_5,AD5,INGISIM,KT_YUKSEKLIK,OLCU_BR1,OLCU_BR2,OLCU_BR3,BIRIM2_CARPAN,BIRIM3_CARPAN,BIRIM_MALIYET
M00001,KAPAK 090-065 HAM TENEKE 2 PARÇA,01,Mamul,SK12,Kapak,KA2,Boya-Kimya,090-065,Kalıp 090-065,B3,Ham Teneke,P2,2 Parça,Kapak 090-065 Ham Teneke 2 pc,60,ADET,KOLİ,PALET,100,2400,5.5328
M00002,TEPSI 325-125 MAT LAK 3 PARÇA,01,Mamul,SK11,Tepsi,KA5,Endüstriyel,325-125,Kalıp 325-125,B4,Mat Lak,P3,3 Parça,Tepsi 325-125 Mat Lak 3 pc,120,ADET,KOLİ,PALET,100,2000,11.4197
M00003,YUVARLAK KUTU 120-105 HAM TENEKE 2 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA6,Bal-Reçel,120-105,Kalıp 120-105,B3,Ham Teneke,P2,2 Parça,Yuvarlak Tin 120-105 Ham Teneke 2 pc,110,ADET,KOLİ,PALET,12,288,4.7807
M00004,YUVARLAK KUTU 210-255 MAT LAK 3 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA6,Bal-Reçel,210-255,Kalıp 210-255,B4,Mat Lak,P3,3 Parça,Yuvarlak Tin 210-255 Mat Lak 3 pc,260,ADET,KOLİ,PALET,48,960,14.0014
M00005,DIKDORTGEN KUTU 145-095 MAT LAK 2 PARÇA,01,Mamul,SK04,Dikdortgen Kutu,KA3,Kozmetik,145-095,Kalıp 145-095,B4,Mat Lak,P2,2 Parça,Dikdortgen Tin 145-095 Mat Lak 2 pc,100,ADET,KOLİ,PALET,48,960,5.0639
M00006,SEKILLI KUTU 175-205 HAM TENEKE 3 PARÇA,01,Mamul,SK08,Sekilli Kutu,KA4,Hediyelik,175-205,Kalıp 175-205,B3,Ham Teneke,P3,3 Parça,Sekilli Tin 175-205 Ham Teneke 3 pc,200,ADET,KOLİ,PALET,48,1152,10.8344
M00007,DIKDORTGEN KUTU 185-115 MAT LAK 2 PARÇA,01,Mamul,SK04,Dikdortgen Kutu,KA5,Endüstriyel,185-115,Kalıp 185-115,B4,Mat Lak,P2,2 Parça,Dikdortgen Tin 185-115 Mat Lak 2 pc,110,ADET,KOLİ,PALET,48,1152,8.8036
M00008,YUVARLAK KUTU 210-255 HAM TENEKE 3 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA2,Boya-Kimya,210-255,Kalıp 210-255,B3,Ham Teneke,P3,3 Parça,Yuvarlak Tin 210-255 Ham Teneke 3 pc,260,ADET,KOLİ,PALET,60,1200,14.19
M00009,YUVARLAK KUTU 245-175 VERNIKLI 3 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA1,Gıda,245-175,Kalıp 245-175,B2,Vernikli,P3,3 Parça,Yuvarlak Tin 245-175 Vernikli 3 pc,180,ADET,KOLİ,PALET,12,288,10.7501
M00010,YUVARLAK KUTU 255-205 MAT LAK 3 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA3,Kozmetik,255-205,Kalıp 255-205,B4,Mat Lak,P3,3 Parça,Yuvarlak Tin 255-205 Mat Lak 3 pc,210,ADET,KOLİ,PALET,60,1440,8.3499
M00011,YUVARLAK KUTU 120-105 HAM TENEKE 3 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA3,Kozmetik,120-105,Kalıp 120-105,B3,Ham Teneke,P3,3 Parça,Yuvarlak Tin 120-105 Ham Teneke 3 pc,110,ADET,KOLİ,PALET,60,1440,8.8469
M00012,YUVARLAK KUTU 205-050 LITOGRAFI 2 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA1,Gıda,205-050,Kalıp 205-050,B1,Litografi,P2,2 Parça,Yuvarlak Tin 205-050 Litografi 2 pc,45,ADET,KOLİ,PALET,48,1152,3.6601
M00013,KOSELI SIVAMA KUTU 210-080 LITOGRAFI 3 PARÇA,01,Mamul,SK10,Koseli Sivama Kutu,KA3,Kozmetik,210-080,Kalıp 210-080,B1,Litografi,P3,3 Parça,Koseli Drawn Tin 210-080 Litografi 3 pc,75,ADET,KOLİ,PALET,24,720,7.8508
