CARI_KOD,SON_TARIH,ALACAK_TL,BORC_TL,BAKIYE_TL,KUR,SONGUNKU_KUR,DURUM,BAKIYE_USD,MUTLAK_USD
120.01.0001,2025-12-22,55458908.68,5154582.67,50304326.01,43.45,47.6,ALACAK,1056813.57,1056813.57
120.01.0002,2026-07-21,64053362.88,21429298.81,42624064.07,47.6,47.6,ALACAK,895463.53,895463.53
120.01.0003,2026-04-08,109749312.31,732021.59,109017290.72,45.85,47.6,ALACAK,2290279.22,2290279.22
120.01.0004,2026-06-24,4298648.83,17346962.71,-13048313.88,47.0167,47.6,BORC,-274124.24,274124.24
120.01.0005,2025-12-09,54482852.51,3240527.78,51242324.73,43.45,47.6,ALACAK,1076519.43,1076519.43
120.01.0006,2026-03-22,57415465.51,4838621.75,52576843.76,45.2667,47.6,ALACAK,1104555.54,1104555.54
120.01.0007,2026-04-08,48710835.08,1024201.92,47686633.16,45.85,47.6,ALACAK,1001820.02,1001820.02
120.01.0008,2026-04-06,503347.15,9195631.02,-8692283.87,45.85,47.6,BORC,-182611.01,182611.01
120.01.0009,2026-07-15,36636308.49,422907.57,36213400.92,47.6,47.6,ALACAK,760785.73,760785.73
120.01.0010,2026-04-04,17496122.26,4406971.02,13089151.24,45.85,47.6,ALACAK,274982.17,274982.17
120.01.0011,2026-04-15,29441401.26,1246284.75,28195116.51,45.85,47.6,ALACAK,592334.38,592334.38
120.01.0012,2026-04-25,21458572.29,2721512.06,18737060.23,45.85,47.6,ALACAK,393635.72,393635.72
120.01.0013,2025-12-09,58060574.21,2311740.97,55748833.24,43.45,47.6,ALACAK,1171193.98,1171193.98
120.01.0014,2026-05-10,17966689.83,3594153.72,14372536.11,46.4333,47.6,ALACAK,301944.04,301944.04
120.01.0015,2026-02-24,28435760.85,3838428.52,24597332.33,44.6833,47.6,ALACAK,516750.68,516750.68
120.01.0016,2026-01-06,16794595.32,967904.87,15826690.45,44.1,47.6,ALACAK,332493.5,332493.5
120.01.0017,2026-04-19,10246429.18,93735.11,10152694.07,45.85,47.6,ALACAK,213291.89,213291.89
120.01.0018,2026-02-20,2113037.81,15415555.79,-13302517.98,44.6833,47.6,BORC,-279464.66,279464.66
120.01.0019,2026-02-05,25089017.39,3842614.99,21246402.4,44.6833,47.6,ALACAK,446352.99,446352.99
120.01.0020,2025-12-08,17218807.81,2636238,14582569.81,43.45,47.6,ALACAK,306356.51,306356.51
120.01.0021,2026-06-15,28157199.19,1299065.94,26858133.25,47.0167,47.6,ALACAK,564246.5,564246.5
120.01.0022,2026-01-26,11192919.48,1873814.97,9319104.51,44.1,47.6,ALACAK,195779.51,195779.51
120.01.0023,2026-04-04,4108561.16,830595.27,3277965.89,45.85,47.6,ALACAK,68864.83,68864.83
120.01.0024,2026-01-30,2974381.67,1221307.55,1753074.12,44.1,47.6,ALACAK,36829.29,36829.29
120.01.0025,2026-05-18,6944427.32,1394210.82,5550216.5,46.4333,47.6,ALACAK,116601.19,116601.19
120.01.0026,2026-07-05,9205588.42,121106.54,9084481.88,47.6,47.6,ALACAK,190850.46,190850.46
120.01.0027,2026-04-05,371019.36,6253785.23,-5882765.87,45.85,47.6,BORC,-123587.52,123587.52
