INCKEYNO,FISNO,SIRA,STHAR_TARIH,ODEKOD,OFSET,ORAN,ODEME_TARIHI,KDV_ORANI,ODEME_TUTARI_KDVLI_TL,ODEME_TUTARI_KDVLI_USD,BIRIM_FIYAT_TL,BIRIM_FIYAT_USD,ODEME_TUTARI_NET_TL,ODEME_TUTARI_NET_USD
100001,SIP23000001,1,2023-01-02,OD08,0,0.2,2023-01-02,0.2,911970.72,48509.0809,189.9939,10.1061,759975.6,40424.234
100001,SIP23000001,1,2023-01-02,OD08,45,0.4,2023-02-16,0.2,1823941.44,97018.1617,189.9939,10.1061,1519951.2,80848.4681
100001,SIP23000001,1,2023-01-02,OD08,90,0.4,2023-04-02,0.2,1823941.44,97018.1617,189.9939,10.1061,1519951.2,80848.4681
100002,SIP23000002,1,2023-01-02,OD05,0,0.3,2023-01-02,0.2,561155.472,29848.6953,129.8971,6.9094,467629.56,24873.9128
100002,SIP23000002,1,2023-01-02,OD05,60,0.7,2023-03-03,0.2,1309362.768,69646.9557,129.8971,6.9094,1091135.64,58039.1298
100003,STK23000001,1,2023-01-02,OD04,90,1,2023-04-02,0.2,2296678.5792,122163.7542,332.2741,17.6742,1913898.816,101803.1285
100004,SIP23000003,1,2023-01-02,OD05,0,0.3,2023-01-02,0.2,81925.1366,4357.72,158.0346,8.4061,68270.9472,3631.4334
100004,SIP23000003,1,2023-01-02,OD05,60,0.7,2023-03-03,0.2,191158.6522,10168.0134,158.0346,8.4061,159298.8768,8473.3445
100005,SIP23000003,2,2023-01-02,OD05,0,0.3,2023-01-02,0.2,95924.1658,5102.3492,370.0778,19.685,79936.8048,4251.9577
100005,SIP23000003,2,2023-01-02,OD05,60,0.7,2023-03-03,0.2,223823.0534,11905.4816,370.0778,19.685,186519.2112,9921.2346
100006,SIP23000004,1,2023-01-02,OD03,60,1,2023-03-03,0.2,1010872.0512,53769.79,292.4977,15.5584,842393.376,44808.1583
100007,SIP23000004,2,2023-01-02,OD03,60,1,2023-03-03,0.2,263356.0128,14008.2986,152.4051,8.1067,219463.344,11673.5821
100008,SIP23000004,3,2023-01-02,OD03,60,1,2023-03-03,0.2,35807.8925,1904.6751,51.8054,2.7556,29839.9104,1587.2293
100009,SIP23000005,1,2023-01-03,OD04,90,1,2023-04-03,0.2,414579.36,22052.0936,172.7414,9.1884,345482.8,18376.7447
100010,SIP23000006,1,2023-01-03,OD05,0,0.3,2023-01-03,0.2,1468874.88,78131.6426,204.0104,10.8516,1224062.4,65109.7021
100010,SIP23000006,1,2023-01-03,OD05,60,0.7,2023-03-04,0.2,3427374.72,182307.166,204.0104,10.8516,2856145.6,151922.6383
100011,SIP23000007,1,2023-01-03,OD03,60,1,2023-03-04,0.2,6172889.76,328345.2,428.6729,22.8017,5144074.8,273621
100012,SIP23000008,1,2023-01-03,OD01,0,1,2023-01-03,0.2,2177000.7552,115797.9125,314.9596,16.7532,1814167.296,96498.2604
100013,SIP23000009,1,2023-01-03,OD04,90,1,2023-04-03,0.2,1707206.112,90808.8357,197.5933,10.5103,1422671.76,75674.0298
100014,STKB23000001,1,2023-01-03,OD07,60,0,2023-03-04,0.2,0,0,131.5587,6.9978,0,0
100014,STKB23000001,1,2023-01-03,OD07,120,1,2023-05-03,0.2,378889.056,20153.6732,131.5587,6.9978,315740.88,16794.7277
100015,STK23000002,1,2023-01-04,OD07,60,0,2023-03-05,0.2,0,0,160.6786,8.5467,0,0
100015,STK23000002,1,2023-01-04,OD07,120,1,2023-05-04,0.2,27765.2621,1476.8756,160.6786,8.5467,23137.7184,1230.7297
100016,SIP23000010,1,2023-01-04,OD01,0,1,2023-01-04,0.2,2630808,139936.5957,182.695,9.7178,2192340,116613.8298
100017,SIP23000011,1,2023-01-04,OD01,0,1,2023-01-04,0.2,274207.8528,14585.5241,158.6851,8.4407,228506.544,12154.6034
100018,STK23000003,1,2023-01-04,OD04,90,1,2023-04-04,0.2,4259510.4,226569.7021,177.4796,9.4404,3549592,188808.0851
100019,SIP23000012,1,2023-01-04,OD05,0,0.3,2023-01-04,0.2,101026.62,5373.7564,56.1259,2.9854,84188.85,4478.1303
100019,SIP23000012,1,2023-01-04,OD05,60,0.7,2023-03-05,0.2,235728.78,12538.7649,56.1259,2.9854,196440.65,10448.9707
100020,SIP23000012,2,2023-01-04,OD05,0,0.3,2023-01-04,0.2,86632.2086,4608.0962,167.1146,8.8891,72193.5072,3840.0802
100020,SIP23000012,2,2023-01-04,OD05,60,0.7,2023-03-05,0.2,202141.8202,10752.2245,167.1146,8.8891,168451.5168,8960.1871
100021,SIP23000013,1,2023-01-04,OD04,90,1,2023-04-04,0.2,130552.4736,6944.2805,151.1024,8.0374,108793.728,5786.9004
100022,SIP23000014,1,2023-01-05,OD08,0,0.2,2023-01-05,0.2,256272.6298,13631.5229,278.0736,14.7911,213560.5248,11359.6024
100022,SIP23000014,1,2023-01-05,OD08,45,0.4,2023-02-19,0.2,512545.2595,27263.0457,278.0736,14.7911,427121.0496,22719.2048
100022,SIP23000014,1,2023-01-05,OD08,90,0.4,2023-04-05,0.2,512545.2595,27263.0457,278.0736,14.7911,427121.0496,22719.2048
100023,SIP23000015,1,2023-01-06,OD03,60,1,2023-03-07,0.2,673013.04,35798.566,280.4221,14.9161,560844.2,29832.1383
100024,SIP23000015,2,2023-01-06,OD03,60,1,2023-03-07,0.2,340150.0032,18093.0853,295.2691,15.7058,283458.336,15077.5711
100025,STKB23000002,1,2023-01-06,OD08,0,0.2,2023-01-06,0.2,82696.2739,4398.738,119.6416,6.3639,68913.5616,3665.615
100025,STKB23000002,1,2023-01-06,OD08,45,0.4,2023-02-20,0.2,165392.5478,8797.4759,119.6416,6.3639,137827.1232,7331.23
100025,STKB23000002,1,2023-01-06,OD08,90,0.4,2023-04-06,0.2,165392.5478,8797.4759,119.6416,6.3639,137827.1232,7331.23
100026,SIP23000016,1,2023-01-06,OD01,0,1,2023-01-06,0.2,2543178.4704,135275.4506,367.9367,19.5711,2119315.392,112729.5421
100027,SIP23000016,2,2023-01-06,OD01,0,1,2023-01-06,0.2,1010765.88,53764.1426,280.7683,14.9345,842304.9,44803.4521
100028,SIP23000017,1,2023-01-06,OD07,60,0,2023-03-07,0.2,0,0,305.4082,16.2451,0,0
100028,SIP23000017,1,2023-01-06,OD07,120,1,2023-05-06,0.2,879575.616,46785.937,305.4082,16.2451,732979.68,38988.2809
100029,SIP23000018,1,2023-01-09,OD08,0,0.2,2023-01-09,0.2,504190.368,26818.6366,175.0661,9.312,420158.64,22348.8638
100029,SIP23000018,1,2023-01-09,OD08,45,0.4,2023-02-23,0.2,1008380.736,53637.2732,175.0661,9.312,840317.28,44697.7277
100029,SIP23000018,1,2023-01-09,OD08,90,0.4,2023-04-09,0.2,1008380.736,53637.2732,175.0661,9.312,840317.28,44697.7277
100030,SIP23000019,1,2023-01-09,OD07,60,0,2023-03-10,0.2,0,0,317.6008,16.8937,0,0
100030,SIP23000019,1,2023-01-09,OD07,120,1,2023-05-09,0.2,3658761.216,194614.9583,317.6008,16.8937,3048967.68,162179.1319
100031,SIP23000020,1,2023-01-09,OD06,0,0.5,2023-01-09,0.2,17660.0448,939.3641,30.6598,1.6308,14716.704,782.8034
100031,SIP23000020,1,2023-01-09,OD06,45,0.5,2023-02-23,0.2,17660.0448,939.3641,30.6598,1.6308,14716.704,782.8034
100032,SIP23000021,1,2023-01-09,OD02,30,1,2023-02-08,0.2,3262015.872,173511.4826,283.1611,15.0618,2718346.56,144592.9021
100033,SIP23000022,1,2023-01-09,OD04,90,1,2023-04-09,0.2,42382.9152,2254.4104,245.2715,13.0464,35319.096,1878.6753
100034,SIP23000022,2,2023-01-09,OD04,90,1,2023-04-09,0.2,1746146.304,92880.1226,378.938,20.1563,1455121.92,77400.1021
