CARI_KOD,CARI_AD,ULKE_KODU,ULKEADI,GRUP_KODU,SEKTOR,RAPOR_KODU1,BOLGE,RAPOR_KODU2,SEKTOR2,RAPOR_KODU3,CARI_TEMSILCI,DEPARTMAN,CARI_TIPI,MUSTERI_YERI
120.01.0001,Nordwind Oy,SE,İSVEÇ,MG2,Boya-Kimya,R1-7,Avrupa,R2-5,İhracatçı,R3-4,Elif S.,YURTDISI,MUSTERI,İsveç
120.01.0002,Zümrütlü Kozmetik Gıda San. A.Ş.,TR,TÜRKİYE,MG1,Süt Ürünleri,R1-2,Karadeniz,R2-2,Zincir Market,R3-2,Cem A.,YURTICI,MUSTERI,Kayseri
120.01.0003,Alaçatı Süt Gıda San. A.Ş.,TR,TÜRKİYE,MG1,Gıda,R1-5,Güneydoğu,R2-2,Toptancı,R3-2,Pelin R.,BASKILI,MUSTERI,Mersin
120.01.0004,Gümüşdere Çay Ltd. Şti.,TR,TÜRKİYE,MG1,Süt Ürünleri,R1-8,Marmara,R2-4,Toptancı,R3-3,Bahar Ö.,YURTICI,MUSTERI,Kayseri
120.01.0005,Marmarist Kahve A.Ş.,TR,TÜRKİYE,MG1,Hediyelik,R1-4,Karadeniz,R2-5,İhracatçı,R3-4,Selim K.,YURTICI,MUSTERI,Trabzon
120.01.0006,Ünlüoğlu Reçel Gıda San. A.Ş.,TR,TÜRKİYE,MG1,Bal-Reçel,R1-3,Akdeniz,R2-3,Toptancı,R3-3,Bahar Ö.,YURTICI,MUSTERI,İstanbul
120.01.0007,Terravita A/S,GB,İNGİLTERE,MG2,Zeytin-Zeytinyağı,R1-4,Avrupa,R2-6,Toptancı,R3-3,Deniz Y.,YURTDISI,MUSTERI,İngi̇ltere
120.01.0008,Narlıcan Makine San. Tic. Ltd. Şti.,TR,TÜRKİYE,MG1,Baharat,R1-1,Marmara,R2-1,İhracatçı,R3-4,Selim K.,YURTICI,MUSTERI,Trabzon
120.01.0009,Narlıcan Kozmetik Koll. Şti.,TR,TÜRKİYE,MG1,Zeytin-Zeytinyağı,R1-9,Karadeniz,R2-6,İhracatçı,R3-4,Bahar Ö.,YURTICI,MUSTERI,Gaziantep
120.01.0010,Narlıcan Makine Gıda San. A.Ş.,TR,TÜRKİYE,MG1,Gıda,R1-4,Marmara,R2-4,Zincir Market,R3-1,Selim K.,YURTICI,MUSTERI,Şanlıurfa
120.01.0011,Vişneli Reçel San. ve Tic. A.Ş.,TR,TÜRKİYE,MG1,Zeytin-Zeytinyağı,R1-7,Doğu Anadolu,R2-6,Zincir Market,R3-2,Selim K.,YURTICI,MUSTERI,Eskişehir
120.01.0012,Ferahlı Ambalaj Gıda San. A.Ş.,TR,TÜRKİYE,MG1,Hediyelik,R1-3,İç Anadolu,R2-5,Toptancı,R3-2,Bahar Ö.,YURTICI,MUSTERI,Balıkesir
