INCKEYNO,STHAR_TARIH,FISNO,SIRA,STOK_KODU,STHAR_CARIKOD,STHAR_GCMIK,STHAR_NF,ALINAN,STHAR_HTUR,TERMIN,SIPARIS_TARIHINDEN_GECEN_GUN,TERMINE_KALAN_GUN,KALAN,STHAR_GCKOD,DOLAR_KURU,STHAR_KOD1,STHAR_KOD2,TUTAR_USD,DURUM,YIL,AY,HAFTA
700001,2023-01-02,SAS23000001,1,H00008,320.01.0002,10000,37.2068,10000,YERLİ,2023-02-16,1305,,0,2,18.8,02,HM1,19790.8511,KAPALI,2023,1,1
700002,2023-01-02,SAS23000001,2,D00008,320.01.0002,5000,180.5128,5000,YERLİ,2023-03-03,1305,,0,2,18.8,03,DG1,48008.7234,KAPALI,2023,1,1
700003,2023-01-03,SAS23000002,1,H00016,320.01.0032,250,43.4202,250,YERLİ,2023-01-18,1304,,0,2,18.8,02,HM1,577.3963,KAPALI,2023,1,1
700004,2023-01-03,SAS23000003,1,H00012,320.01.0046,1000,18.9311,1000,YERLİ,2023-04-03,1304,,0,2,18.8,02,HM1,1006.9734,KAPALI,2023,1,1
700005,2023-01-03,SAS23000003,2,H00005,320.01.0046,10000,34.1317,10000,YERLİ,2023-03-04,1304,,0,2,18.8,02,HM1,18155.1596,KAPALI,2023,1,1
700006,2023-01-04,SAS23000004,1,D00005,320.01.0002,250,179.7126,250,YERLİ,2023-01-14,1303,,0,2,18.8,03,DG1,2389.7952,KAPALI,2023,1,1
700007,2023-01-04,SAS23000005,1,H00011,320.01.0010,120,20.0064,120,YERLİ,2023-03-05,1303,,0,2,18.8,02,HM1,127.7004,KAPALI,2023,1,1
700008,2023-01-04,SAS23000006,1,D00010,320.01.0032,10000,107.931,10000,YERLİ,2023-01-14,1303,,0,2,18.8,03,DG1,57410.1064,KAPALI,2023,1,1
700009,2023-01-04,SAS23000006,2,D00008,320.01.0032,120,189.8722,120,YERLİ,2023-02-03,1303,,0,2,18.8,03,DG1,1211.9502,KAPALI,2023,1,1
700010,2023-01-05,SAS23000007,1,D00011,320.01.0001,250,5.3424,125,YERLİ,2023-04-05,1302,-1212,125,2,18.8,03,DG1,71.0426,ACIK,2023,1,1
700011,2023-01-05,SAS23000007,2,D00002,320.01.0001,1000,34.6145,500,YERLİ,2023-01-26,1302,-1281,500,2,18.8,03,DG1,1841.1968,ACIK,2023,1,1
700012,2023-01-05,SAS23000008,1,H00012,320.01.0027,1000,15.6404,1000,YERLİ,2023-01-15,1302,,0,2,18.8,02,HM1,831.9362,KAPALI,2023,1,1
700013,2023-01-05,SAS23000009,1,D00002,320.01.0027,2000,37.824,2000,YERLİ,2023-01-15,1302,,0,2,18.8,03,DG1,4023.8298,KAPALI,2023,1,1
700014,2023-01-05,SAS23000010,1,D00005,320.01.0043,250,154.1824,250,İTHAL,2023-01-15,1302,,0,2,18.8,03,DG1,2050.2979,KAPALI,2023,1,1
700015,2023-01-06,SAS23000011,1,D00009,320.01.0006,500,124.3227,500,YERLİ,2023-02-20,1301,,0,2,18.8,03,DG1,3306.4548,KAPALI,2023,1,1
