STOK_KODU,CARI_KOD,FISNO,TARIH,MIKTAR1,MIKTAR2,NET_FIYAT,STHAR_GCKOD,STHAR_HTUR,DOLAR_KURU,STHAR_ACIKLAMA,EKALAN,EKALAN1,TUTAR_USD,ODE_GUN,YIL,AY,HAFTA
D00003,320.01.0008,IRS23700001,2023-03-15,1000,1000,164.6704,1,YERLİ,21.2333,Sevk irsaliyesi,H,Şartlı kabul,7755.29,90,2023,3,11
H00014,320.01.0005,IRS23700002,2023-03-30,1000,1,54.6007,1,İTHAL,21.2333,Numune kabul,H,Şartlı kabul,2571.4656,0,2023,3,13
D00011,320.01.0002,IRS23700003,2023-04-08,250,250,46.3166,1,YERLİ,22.45,Sevk irsaliyesi,E,Şartlı kabul,515.7751,60,2023,4,14
D00004,320.01.0048,IRS23700004,2023-02-12,500,500,14.0433,1,YERLİ,20.0167,İthalat dosyası,H,,350.7896,0,2023,2,6
H00014,320.01.0048,IRS23700005,2023-01-31,1000,1,48.1629,1,YERLİ,18.8,Mal kabul,E,Şartlı kabul,2561.8564,0,2023,1,5
H00015,320.01.0048,IRS23700006,2023-03-07,500,0.5,14.421,1,YERLİ,21.2333,İthalat dosyası,H,,339.5845,60,2023,3,10
D00001,320.01.0004,IRS23700007,2023-04-11,500,500,148.1728,1,YERLİ,22.45,Numune kabul,H,Şartlı kabul,3300.0624,60,2023,4,15
D00004,320.01.0006,IRS23700008,2023-03-13,250,250,12.4345,1,YERLİ,21.2333,Sevk irsaliyesi,E,Kalite onaylı,146.4033,90,2023,3,11
D00010,320.01.0001,IRS23700009,2023-02-03,2000,2000,166.5973,1,YERLİ,20.0167,Kısmi teslim,H,,16645.8307,45,2023,2,5
H00007,320.01.0001,IRS23700010,2023-01-28,2000,2,55.242,1,YERLİ,18.8,Sevk irsaliyesi,H,Şartlı kabul,5876.8085,45,2023,1,4
H00011,320.01.0007,IRS23700011,2023-01-22,120,0.12,28.5813,1,İTHAL,18.8,Sevk irsaliyesi,H,,182.4338,60,2023,1,3
D00004,320.01.0052,IRS23700012,2023-01-29,2000,2000,13.2327,1,YERLİ,18.8,Mal kabul,E,,1407.734,45,2023,1,4
D00002,320.01.0052,IRS23700013,2023-04-06,500,500,90.2709,1,YERLİ,22.45,Mal kabul,H,Kalite onaylı,2010.4878,30,2023,4,14
H00014,320.01.0018,IRS23700014,2023-03-09,500,0.5,55.7096,1,İTHAL,21.2333,Mal kabul,H,,1311.8451,30,2023,3,10
H00004,320.01.0002,IRS23700015,2023-01-15,10000,10,14.345,1,YERLİ,18.8,Numune kabul,H,Kalite onaylı,7630.3191,90,2023,1,2
H00009,320.01.0002,IRS23700016,2023-04-01,1000,1,11.0334,1,YERLİ,22.45,Sevk irsaliyesi,H,Şartlı kabul,491.4655,0,2023,4,13
D00010,320.01.0026,IRS23700018,2023-02-19,120,120,194.413,1,YERLİ,20.0167,Sevk irsaliyesi,E,Şartlı kabul,1165.5048,90,2023,2,7
H00004,320.01.0026,IRS23700019,2023-04-08,120,0.12,12.4273,1,YERLİ,22.45,Mal kabul,H,Şartlı kabul,66.4265,30,2023,4,14
H00009,320.01.0026,IRS23700020,2023-02-21,120,0.12,13.6888,1,YERLİ,20.0167,Numune kabul,E,,82.0643,0,2023,2,8
H00016,320.01.0001,IRS23700021,2023-04-14,5000,5000,28.9838,1,YERLİ,22.45,Sevk irsaliyesi,E,Kalite onaylı,6455.1893,90,2023,4,15
H00015,320.01.0001,IRS23700022,2023-03-06,2500,2.5,15.9294,1,YERLİ,21.2333,Sevk irsaliyesi,H,Şartlı kabul,1875.521,30,2023,3,10
D00007,320.01.0001,IRS23700023,2023-03-07,500,500,67.6888,1,YERLİ,21.2333,Numune kabul,H,,1593.9303,60,2023,3,10
H00007,320.01.0001,IRS23700024,2023-01-25,5000,5,51.9546,1,YERLİ,18.8,İthalat dosyası,E,,13817.7128,90,2023,1,4
H00002,320.01.0001,IRS23700025,2023-02-25,10000,10,50.6452,1,YERLİ,20.0167,İthalat dosyası,E,Şartlı kabul,25301.4733,0,2023,2,8
D00006,320.01.0004,IRS23700026,2023-02-18,250,250,114.0553,1,YERLİ,20.0167,Sevk irsaliyesi,E,Kalite onaylı,1424.5018,90,2023,2,7
H00009,320.01.0001,IRS23700027,2023-04-15,120,0.12,10.9564,1,YERLİ,22.45,İthalat dosyası,H,Kalite onaylı,58.5643,60,2023,4,15
H00010,320.01.0001,IRS23700028,2023-03-03,5000,5,15.5628,1,YERLİ,21.2333,Numune kabul,E,Kalite onaylı,3664.7153,60,2023,3,9
H00001,320.01.0009,IRS23700029,2023-02-26,1000,1,32.1822,1,İTHAL,20.0167,Mal kabul,H,,1607.7675,0,2023,2,8
D00004,320.01.0006,IRS23700030,2023-03-07,1000,1000,13.8424,1,YERLİ,21.2333,Sevk irsaliyesi,E,Kalite onaylı,651.9194,30,2023,3,10
D00005,320.01.0038,IRS23700031,2023-02-27,2000,2000,151.9587,1,YERLİ,20.0167,İthalat dosyası,E,Kalite onaylı,15183.192,45,2023,2,9
H00004,320.01.0010,IRS23700032,2023-02-07,250,0.25,12.6029,1,YERLİ,20.0167,Kısmi teslim,E,,157.4048,30,2023,2,6
D00007,320.01.0010,IRS23700033,2023-01-20,1000,1000,69.6114,1,YERLİ,18.8,Sevk irsaliyesi,H,,3702.734,0,2023,1,3
H00007,320.01.0010,IRS23700034,2023-01-27,10000,10,57.5572,1,YERLİ,18.8,Kısmi teslim,H,Kalite onaylı,30615.5319,45,2023,1,4
H00014,320.01.0010,IRS23700035,2023-01-26,120,0.12,56.2261,1,YERLİ,18.8,Sevk irsaliyesi,E,,358.89,45,2023,1,4
H00003,320.01.0010,IRS23700036,2023-04-10,120,0.12,19.5296,1,YERLİ,22.45,Kısmi teslim,E,Şartlı kabul,104.3898,60,2023,4,15
H00001,320.01.0010,IRS23700037,2023-04-21,120,0.12,28.8588,1,YERLİ,22.45,Sevk irsaliyesi,E,Kalite onaylı,154.2564,30,2023,4,16
