INCKEYNO,STHAR_TARIH,FISNO,SIRA,STOK_KODU,STHAR_CARIKOD,STHAR_GCMIK,STHAR_NF,GONDERILEN,KALAN,SIPARIS_TEMSILCI,DEPARTMAN,STHAR_GCKOD,DOLAR_KURU,STHAR_KOD1,STHAR_KOD2,TUTAR_USD,DURUM,YIL,AY,HAFTA,ODEKOD,ODEME_ACIKLAMA,PESINAT_ORANI,VADE_GUNU,PESIN_TUTAR,VADELI_TUTAR,RPT,KACINCI_SIPARIS
100001,2023-01-02,SIP23000001,1,M00002,120.01.0129,288,246.7878,288,0,Deniz Y.,YURT_DISI,1,18.8,SK01,KA1,3780.5791,KAPALI,2023,1,1,OD04,90 Gün Vadeli,0,90,0,3780.5791,1,1
100002,2023-01-02,SIP23000002,1,M00071,120.01.0101,12000,26.335,12000,0,Selim K.,YURT_ICI,1,18.8,SK10,KA1,16809.5745,KAPALI,2023,1,1,OD03,60 Gün Vadeli,0,60,0,16809.5745,1,1
100003,2023-01-02,SIP23000003,1,M00009,120.01.0056,720,156.0773,720,0,Nurhan T.,YURT_ICI,1,18.8,SK03,KA3,5977.4285,KAPALI,2023,1,1,OD03,60 Gün Vadeli,0,60,0,5977.4285,0,1
100004,2023-01-02,SIP23000003,2,M00033,120.01.0056,1200,109.5669,1200,0,Nurhan T.,YURT_ICI,1,18.8,SK11,KA4,6993.6319,KAPALI,2023,1,1,OD03,60 Gün Vadeli,0,60,0,6993.6319,1,1
100005,2023-01-02,SIP23000003,3,M00011,120.01.0056,20000,244.5191,20000,0,Nurhan T.,YURT_ICI,1,18.8,SK04,KA4,260126.7021,KAPALI,2023,1,1,OD03,60 Gün Vadeli,0,60,0,260126.7021,1,1
100006,2023-01-02,SIP23000004,1,M00006,120.01.0043,2000,57.199,2000,0,Deniz Y.,YURT_DISI,1,18.8,SK02,KA3,6085,KAPALI,2023,1,1,OD06,%50 Peşin + 45 Gün,0.5,45,3042.5,3042.5,1,1
100007,2023-01-02,SIP23000004,2,M00048,120.01.0043,1200,183.644,1200,0,Deniz Y.,YURT_DISI,1,18.8,SK16,KA5,11721.9574,KAPALI,2023,1,1,OD06,%50 Peşin + 45 Gün,0.5,45,5860.9787,5860.9787,1,1
100008,2023-01-02,SIP23000004,3,M00010,120.01.0043,12000,252.0552,12000,0,Deniz Y.,YURT_DISI,1,18.8,SK04,KA6,160886.2979,KAPALI,2023,1,1,OD06,%50 Peşin + 45 Gün,0.5,45,80443.149,80443.149,1,1
100009,2023-01-02,SIP23000004,4,M00002,120.01.0043,288,307.3372,288,0,Deniz Y.,YURT_DISI,1,18.8,SK01,KA1,4708.1443,KAPALI,2023,1,1,OD06,%50 Peşin + 45 Gün,0.5,45,2354.0721,2354.0721,1,1
100010,2023-01-02,STK23000001,1,M00002,120.01.0002,9600,296.58,9600,0,Nurhan T.,YURT_ICI,1,18.8,SK01,KA1,151445.1064,KAPALI,2023,1,1,OD08,Akreditif,0.2,75,30289.0213,121156.0851,0,1
100011,2023-01-03,SIP23000005,1,M00097,120.01.0011,72,208.779,72,0,Bahar Ö.,YURT_ICI,1,18.8,SK02,KA1,799.5791,KAPALI,2023,1,1,OD06,%50 Peşin + 45 Gün,0.5,45,399.7896,399.7896,1,1
100012,2023-01-03,SIP23000005,2,M00150,120.01.0011,12000,204.834,12000,0,Bahar Ö.,YURT_ICI,1,18.8,SK01,KA1,130745.1064,KAPALI,2023,1,1,OD06,%50 Peşin + 45 Gün,0.5,45,65372.5532,65372.5532,1,1
100013,2023-01-03,SIP23000005,3,M00059,120.01.0011,240,49.6734,240,0,Bahar Ö.,YURT_ICI,1,18.8,SK16,KA3,634.1285,KAPALI,2023,1,1,OD06,%50 Peşin + 45 Gün,0.5,45,317.0643,317.0643,1,1
100014,2023-01-03,SIP23000005,4,M00027,120.01.0011,9600,122.1102,9600,0,Bahar Ö.,YURT_ICI,1,18.8,SK09,KA5,62354.1447,KAPALI,2023,1,1,OD06,%50 Peşin + 45 Gün,0.5,45,31177.0723,31177.0723,1,1
100015,2023-01-03,SIP23000006,1,M00003,120.01.0047,1200,138.6961,1200,0,Selim K.,YURT_ICI,1,18.8,SK01,KA3,8852.9426,KAPALI,2023,1,1,OD03,60 Gün Vadeli,0,60,0,8852.9426,1,1
100016,2023-01-03,SIP23000007,1,M00010,120.01.0050,360,237.4771,360,0,Nurhan T.,YURT_ICI,1,18.8,SK04,KA6,4547.4338,KAPALI,2023,1,1,OD03,60 Gün Vadeli,0,60,0,4547.4338,1,1
100017,2023-01-03,STKB23000001,1,M00001,120.01.0050,1440,184.3045,1440,0,Nurhan T.,YURT_ICI,1,18.8,SK01,KA6,14116.9404,KAPALI,2023,1,1,OD05,%30 Peşin + 60 Gün,0.3,60,4235.0821,9881.8583,1,2
100018,2023-01-03,SIP23000008,1,M00016,120.01.0009,5760,236.3289,5760,0,Cem A.,YURT_ICI,1,18.8,SK06,KA3,72407.1523,KAPALI,2023,1,1,OD04,90 Gün Vadeli,0,90,0,72407.1523,0,1
100019,2023-01-03,SIP23000009,1,M00005,120.01.0005,3840,272.6755,3840,0,Elif S.,YURT_DISI,1,18.8,SK02,KA6,55695.4213,KAPALI,2023,1,1,OD08,Akreditif,0.2,75,11139.0843,44556.337,1,1
100020,2023-01-03,SIP23000009,2,M00283,120.01.0005,12000,321.4707,12000,0,Elif S.,YURT_DISI,1,18.8,SK03,KA6,205194.0638,KAPALI,2023,1,1,OD08,Akreditif,0.2,75,41038.8128,164155.251,1,1
100021,2023-01-03,SIP23000009,3,M00003,120.01.0005,1200,128.2253,1200,0,Elif S.,YURT_DISI,1,18.8,SK01,KA3,8184.5936,KAPALI,2023,1,1,OD08,Akreditif,0.2,75,1636.9187,6547.6749,1,1
100022,2023-01-03,SIP23000010,1,M00002,120.01.0015,1440,304.7964,1440,0,Selim K.,YURT_ICI,1,18.8,SK01,KA1,23346.1072,KAPALI,2023,1,1,OD01,Peşin,1,0,23346.1072,0,1,1
100023,2023-01-04,SIP23000011,1,M00023,120.01.0009,576,88.8784,576,0,Cem A.,YURT_ICI,1,18.8,SK08,KA3,2723.0829,KAPALI,2023,1,1,OD08,Akreditif,0.2,75,544.6166,2178.4663,0,2
100024,2023-01-04,SIP23000011,2,M00006,120.01.0009,8000,60.0359,8000,0,Cem A.,YURT_ICI,1,18.8,SK02,KA3,25547.1915,KAPALI,2023,1,1,OD08,Akreditif,0.2,75,5109.4383,20437.7532,0,2
100025,2023-01-04,SIP23000011,3,M00017,120.01.0009,1200,220.447,1200,0,Cem A.,YURT_ICI,1,18.8,SK06,KA6,14071.0851,KAPALI,2023,1,1,OD08,Akreditif,0.2,75,2814.217,11256.8681,1,2
100026,2023-01-04,SIP23000011,4,M00001,120.01.0009,2400,202.7944,2400,0,Cem A.,YURT_ICI,1,18.8,SK01,KA6,25888.6468,KAPALI,2023,1,1,OD08,Akreditif,0.2,75,5177.7294,20710.9174,1,2
100027,2023-01-04,SIP23000012,1,M00139,120.01.0001,720,292.5677,720,0,Bahar Ö.,YURT_ICI,1,18.8,SK01,KA5,11204.7204,KAPALI,2023,1,1,OD02,30 Gün Vadeli,0,30,0,11204.7204,1,1
