INCKEYNO,FISNO,SIRA,STHAR_TARIH,ODEKOD,OFSET,ORAN,ODEME_TARIHI,ODEME_TUTARI_TL,ODEME_TUTAR_USD
100001,SIP23000001,1,2023-01-02,OD04,90,1,2023-04-02,71074.8864,3780.5791
100002,SIP23000002,1,2023-01-02,OD03,60,1,2023-03-03,316020,16809.5745
100003,SIP23000003,1,2023-01-02,OD03,60,1,2023-03-03,112375.656,5977.4285
100004,SIP23000003,2,2023-01-02,OD03,60,1,2023-03-03,131480.28,6993.6319
100005,SIP23000003,3,2023-01-02,OD03,60,1,2023-03-03,4890382,260126.7021
100006,SIP23000004,1,2023-01-02,OD06,0,0.5,2023-01-02,57199,3042.5
100006,SIP23000004,1,2023-01-02,OD06,45,0.5,2023-02-16,57199,3042.5
100007,SIP23000004,2,2023-01-02,OD06,0,0.5,2023-01-02,110186.4,5860.9787
100007,SIP23000004,2,2023-01-02,OD06,45,0.5,2023-02-16,110186.4,5860.9787
100008,SIP23000004,3,2023-01-02,OD06,0,0.5,2023-01-02,1512331.2,80443.1489
100008,SIP23000004,3,2023-01-02,OD06,45,0.5,2023-02-16,1512331.2,80443.1489
100009,SIP23000004,4,2023-01-02,OD06,0,0.5,2023-01-02,44256.5568,2354.0722
100009,SIP23000004,4,2023-01-02,OD06,45,0.5,2023-02-16,44256.5568,2354.0722
100010,STK23000001,1,2023-01-02,OD08,0,0.2,2023-01-02,569433.6,30289.0213
100010,STK23000001,1,2023-01-02,OD08,45,0.4,2023-02-16,1138867.2,60578.0426
100010,STK23000001,1,2023-01-02,OD08,90,0.4,2023-04-02,1138867.2,60578.0426
100011,SIP23000005,1,2023-01-03,OD06,0,0.5,2023-01-03,7516.044,399.7896
100011,SIP23000005,1,2023-01-03,OD06,45,0.5,2023-02-17,7516.044,399.7896
100012,SIP23000005,2,2023-01-03,OD06,0,0.5,2023-01-03,1229004,65372.5532
100012,SIP23000005,2,2023-01-03,OD06,45,0.5,2023-02-17,1229004,65372.5532
100013,SIP23000005,3,2023-01-03,OD06,0,0.5,2023-01-03,5960.808,317.0643
100013,SIP23000005,3,2023-01-03,OD06,45,0.5,2023-02-17,5960.808,317.0643
100014,SIP23000005,4,2023-01-03,OD06,0,0.5,2023-01-03,586128.96,31177.0723
100014,SIP23000005,4,2023-01-03,OD06,45,0.5,2023-02-17,586128.96,31177.0723
100015,SIP23000006,1,2023-01-03,OD03,60,1,2023-03-04,166435.32,8852.9426
100016,SIP23000007,1,2023-01-03,OD03,60,1,2023-03-04,85491.756,4547.4338
100017,STKB23000001,1,2023-01-03,OD05,0,0.3,2023-01-03,79619.544,4235.0821
100017,STKB23000001,1,2023-01-03,OD05,60,0.7,2023-03-04,185778.936,9881.8583
100018,SIP23000008,1,2023-01-03,OD04,90,1,2023-04-03,1361254.464,72407.1523
100019,SIP23000009,1,2023-01-03,OD08,0,0.2,2023-01-03,209414.784,11139.0843
100019,SIP23000009,1,2023-01-03,OD08,45,0.4,2023-02-17,418829.568,22278.1685
100019,SIP23000009,1,2023-01-03,OD08,90,0.4,2023-04-03,418829.568,22278.1685
100020,SIP23000009,2,2023-01-03,OD08,0,0.2,2023-01-03,771529.68,41038.8128
100020,SIP23000009,2,2023-01-03,OD08,45,0.4,2023-02-17,1543059.36,82077.6255
100020,SIP23000009,2,2023-01-03,OD08,90,0.4,2023-04-03,1543059.36,82077.6255
100021,SIP23000009,3,2023-01-03,OD08,0,0.2,2023-01-03,30774.072,1636.9187
100021,SIP23000009,3,2023-01-03,OD08,45,0.4,2023-02-17,61548.144,3273.8374
100021,SIP23000009,3,2023-01-03,OD08,90,0.4,2023-04-03,61548.144,3273.8374
100022,SIP23000010,1,2023-01-03,OD01,0,1,2023-01-03,438906.816,23346.1072
100023,SIP23000011,1,2023-01-04,OD08,0,0.2,2023-01-04,10238.7917,544.6166
100023,SIP23000011,1,2023-01-04,OD08,45,0.4,2023-02-18,20477.5834,1089.2332
100023,SIP23000011,1,2023-01-04,OD08,90,0.4,2023-04-04,20477.5834,1089.2332
100024,SIP23000011,2,2023-01-04,OD08,0,0.2,2023-01-04,96057.44,5109.4383
100024,SIP23000011,2,2023-01-04,OD08,45,0.4,2023-02-18,192114.88,10218.8766
100024,SIP23000011,2,2023-01-04,OD08,90,0.4,2023-04-04,192114.88,10218.8766
100025,SIP23000011,3,2023-01-04,OD08,0,0.2,2023-01-04,52907.28,2814.217
100025,SIP23000011,3,2023-01-04,OD08,45,0.4,2023-02-18,105814.56,5628.434
