STOK_KODU,STOK_ADI,GRUP_KODU,GRUP_ADI,KOD_1,AD1,KOD_2,AD2,KOD_3,AD3,KOD_4,AD4,KOD_5,AD5,INGISIM,KT_YUKSEKLIK,OLCU_BR1,OLCU_BR2,OLCU_BR3,BIRIM2_CARPAN,BIRIM3_CARPAN,BIRIM_MALIYET
M00001,YUVARLAK KUTU 073-062 VERNIKLI 3 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA6,Bal-Reçel,073-062,Kalıp 073-062,B2,Vernikli,P3,3 Parça,Yuvarlak Tin 073-062 Vernikli 3 pc,67,ADET,KOLİ,PALET,12,360,6.794
M00002,YUVARLAK KUTU 099-084 VERNIKLI 3 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA1,Gıda,099-084,Kalıp 099-084,B2,Vernikli,P3,3 Parça,Yuvarlak Tin 099-084 Vernikli 3 pc,89,ADET,KOLİ,PALET,48,960,8.4779
M00003,YUVARLAK KUTU 153-118 HAM TENEKE 2 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA3,Kozmetik,153-118,Kalıp 153-118,B3,Ham Teneke,P2,2 Parça,Yuvarlak Tin 153-118 Ham Teneke 2 pc,123,ADET,KOLİ,PALET,60,1800,3.5716
M00004,YUVARLAK-SIVAMA KUTU 066-048 MAT LAK 3 PARÇA,01,Mamul,SK02,Yuvarlak-Sivama Kutu,KA1,Gıda,066-048,Kalıp 066-048,B4,Mat Lak,P3,3 Parça,Yuvarlak-Drawn Tin 066-048 Mat Lak 3 pc,53,ADET,KOLİ,PALET,24,576,11.6745
M00005,YUVARLAK-SIVAMA KUTU 088-071 MAT LAK 3 PARÇA,01,Mamul,SK02,Yuvarlak-Sivama Kutu,KA6,Bal-Reçel,088-071,Kalıp 088-071,B4,Mat Lak,P3,3 Parça,Yuvarlak-Drawn Tin 088-071 Mat Lak 3 pc,76,ADET,KOLİ,PALET,48,960,9.5593
M00006,YUVARLAK-SIVAMA KUTU 112-096 VERNIKLI 3 PARÇA,01,Mamul,SK02,Yuvarlak-Sivama Kutu,KA3,Kozmetik,112-096,Kalıp 112-096,B2,Vernikli,P3,3 Parça,Yuvarlak-Drawn Tin 112-096 Vernikli 3 pc,101,ADET,KOLİ,PALET,100,2400,2.018
M00007,KARE KUTU 105-072 LITOGRAFI 3 PARÇA,01,Mamul,SK03,Kare Kutu,KA3,Kozmetik,105-072,Kalıp 105-072,B1,Litografi,P3,3 Parça,Kare Tin 105-072 Litografi 3 pc,77,ADET,KOLİ,PALET,60,1200,4.9345
M00008,KARE KUTU 132-108 HAM TENEKE 2 PARÇA,01,Mamul,SK03,Kare Kutu,KA4,Hediyelik,132-108,Kalıp 132-108,B3,Ham Teneke,P2,2 Parça,Kare Tin 132-108 Ham Teneke 2 pc,113,ADET,KOLİ,PALET,12,360,11.0911
M00009,KARE KUTU 168-142 HAM TENEKE 3 PARÇA,01,Mamul,SK03,Kare Kutu,KA3,Kozmetik,168-142,Kalıp 168-142,B3,Ham Teneke,P3,3 Parça,Kare Tin 168-142 Ham Teneke 3 pc,147,ADET,KOLİ,PALET,60,1800,6.1655
M00010,DIKDORTGEN KUTU 118-058 HAM TENEKE 3 PARÇA,01,Mamul,SK04,Dikdortgen Kutu,KA6,Bal-Reçel,118-058,Kalıp 118-058,B3,Ham Teneke,P3,3 Parça,Dikdortgen Tin 118-058 Ham Teneke 3 pc,63,ADET,KOLİ,PALET,60,1200,9.3706
M00011,DIKDORTGEN KUTU 156-082 LITOGRAFI 2 PARÇA,01,Mamul,SK04,Dikdortgen Kutu,KA4,Hediyelik,156-082,Kalıp 156-082,B1,Litografi,P2,2 Parça,Dikdortgen Tin 156-082 Litografi 2 pc,87,ADET,KOLİ,PALET,100,2000,10.9124
M00012,DIKDORTGEN KUTU 192-124 VERNIKLI 3 PARÇA,01,Mamul,SK04,Dikdortgen Kutu,KA6,Bal-Reçel,192-124,Kalıp 192-124,B2,Vernikli,P3,3 Parça,Dikdortgen Tin 192-124 Vernikli 3 pc,129,ADET,KOLİ,PALET,48,1152,8.6615
M00013,OVAL KUTU 128-066 MAT LAK 3 PARÇA,01,Mamul,SK05,Oval Kutu,KA4,Hediyelik,128-066,Kalıp 128-066,B4,Mat Lak,P3,3 Parça,Oval Tin 128-066 Mat Lak 3 pc,71,ADET,KOLİ,PALET,24,720,4.0194
M00014,OVAL KUTU 164-092 MAT LAK 3 PARÇA,01,Mamul,SK05,Oval Kutu,KA4,Hediyelik,164-092,Kalıp 164-092,B4,Mat Lak,P3,3 Parça,Oval Tin 164-092 Mat Lak 3 pc,97,ADET,KOLİ,PALET,100,2400,2.1264
M00015,OVAL KUTU 208-136 LITOGRAFI 2 PARÇA,01,Mamul,SK05,Oval Kutu,KA5,Endüstriyel,208-136,Kalıp 208-136,B1,Litografi,P2,2 Parça,Oval Tin 208-136 Litografi 2 pc,141,ADET,KOLİ,PALET,48,1152,4.6225
M00016,ALTIGEN KUTU 096-054 MAT LAK 3 PARÇA,01,Mamul,SK06,Altıgen Kutu,KA3,Kozmetik,096-054,Kalıp 096-054,B4,Mat Lak,P3,3 Parça,Altıgen Tin 096-054 Mat Lak 3 pc,59,ADET,KOLİ,PALET,48,960,9.5274
M00017,ALTIGEN KUTU 122-078 LITOGRAFI 2 PARÇA,01,Mamul,SK06,Altıgen Kutu,KA6,Bal-Reçel,122-078,Kalıp 122-078,B1,Litografi,P2,2 Parça,Altıgen Tin 122-078 Litografi 2 pc,83,ADET,KOLİ,PALET,100,2400,7.4242
M00018,ALTIGEN KUTU 148-102 MAT LAK 2 PARÇA,01,Mamul,SK06,Altıgen Kutu,KA1,Gıda,148-102,Kalıp 148-102,B4,Mat Lak,P2,2 Parça,Altıgen Tin 148-102 Mat Lak 2 pc,107,ADET,KOLİ,PALET,60,1440,3.0244
M00019,SEKIZGEN KUTU 102-068 HAM TENEKE 3 PARÇA,01,Mamul,SK07,Sekizgen Kutu,KA2,Boya-Kimya,102-068,Kalıp 102-068,B3,Ham Teneke,P3,3 Parça,Sekizgen Tin 102-068 Ham Teneke 3 pc,73,ADET,KOLİ,PALET,24,480,7.2469
M00020,SEKIZGEN KUTU 138-094 LITOGRAFI 3 PARÇA,01,Mamul,SK07,Sekizgen Kutu,KA1,Gıda,138-094,Kalıp 138-094,B1,Litografi,P3,3 Parça,Sekizgen Tin 138-094 Litografi 3 pc,99,ADET,KOLİ,PALET,12,288,6.8761
M00021,SEKIZGEN KUTU 174-128 LITOGRAFI 3 PARÇA,01,Mamul,SK07,Sekizgen Kutu,KA2,Boya-Kimya,174-128,Kalıp 174-128,B1,Litografi,P3,3 Parça,Sekizgen Tin 174-128 Litografi 3 pc,133,ADET,KOLİ,PALET,24,576,13.1151
M00022,SEKILLI KUTU 114-076 HAM TENEKE 3 PARÇA,01,Mamul,SK08,Sekilli Kutu,KA6,Bal-Reçel,114-076,Kalıp 114-076,B3,Ham Teneke,P3,3 Parça,Sekilli Tin 114-076 Ham Teneke 3 pc,81,ADET,KOLİ,PALET,100,2000,4.2606
M00023,SEKILLI KUTU 146-112 MAT LAK 2 PARÇA,01,Mamul,SK08,Sekilli Kutu,KA3,Kozmetik,146-112,Kalıp 146-112,B4,Mat Lak,P2,2 Parça,Sekilli Tin 146-112 Mat Lak 2 pc,117,ADET,KOLİ,PALET,48,1152,3.2409
M00024,SEKILLI KUTU 186-148 VERNIKLI 2 PARÇA,01,Mamul,SK08,Sekilli Kutu,KA3,Kozmetik,186-148,Kalıp 186-148,B2,Vernikli,P2,2 Parça,Sekilli Tin 186-148 Vernikli 2 pc,153,ADET,KOLİ,PALET,100,2000,6.0635
M00025,KALP KUTU 108-046 LITOGRAFI 2 PARÇA,01,Mamul,SK09,Kalp Kutu,KA2,Boya-Kimya,108-046,Kalıp 108-046,B1,Litografi,P2,2 Parça,Kalp Tin 108-046 Litografi 2 pc,51,ADET,KOLİ,PALET,100,3000,4.6162
M00026,KALP KUTU 134-064 LITOGRAFI 2 PARÇA,01,Mamul,SK09,Kalp Kutu,KA1,Gıda,134-064,Kalıp 134-064,B1,Litografi,P2,2 Parça,Kalp Tin 134-064 Litografi 2 pc,69,ADET,KOLİ,PALET,24,576,1.946
M00027,KALP KUTU 172-088 MAT LAK 3 PARÇA,01,Mamul,SK09,Kalp Kutu,KA5,Endüstriyel,172-088,Kalıp 172-088,B4,Mat Lak,P3,3 Parça,Kalp Tin 172-088 Mat Lak 3 pc,93,ADET,KOLİ,PALET,48,1440,3.9013
M00028,KOSELI SIVAMA KUTU 092-056 HAM TENEKE 2 PARÇA,01,Mamul,SK10,Koseli Sivama Kutu,KA5,Endüstriyel,092-056,Kalıp 092-056,B3,Ham Teneke,P2,2 Parça,Koseli Drawn Tin 092-056 Ham Teneke 2 pc,61,ADET,KOLİ,PALET,24,480,4.391
M00029,KOSELI SIVAMA KUTU 126-086 MAT LAK 2 PARÇA,01,Mamul,SK10,Koseli Sivama Kutu,KA1,Gıda,126-086,Kalıp 126-086,B4,Mat Lak,P2,2 Parça,Koseli Drawn Tin 126-086 Mat Lak 2 pc,91,ADET,KOLİ,PALET,12,240,10.0244
M00030,KOSELI SIVAMA KUTU 158-114 VERNIKLI 2 PARÇA,01,Mamul,SK10,Koseli Sivama Kutu,KA4,Hediyelik,158-114,Kalıp 158-114,B2,Vernikli,P2,2 Parça,Koseli Drawn Tin 158-114 Vernikli 2 pc,119,ADET,KOLİ,PALET,60,1800,4.7829
M00031,TEPSI 216-032 MAT LAK 2 PARÇA,01,Mamul,SK11,Tepsi,KA3,Kozmetik,216-032,Kalıp 216-032,B4,Mat Lak,P2,2 Parça,Tepsi 216-032 Mat Lak 2 pc,37,ADET,KOLİ,PALET,60,1800,3.5389
M00032,TEPSI 268-044 MAT LAK 2 PARÇA,01,Mamul,SK11,Tepsi,KA5,Endüstriyel,268-044,Kalıp 268-044,B4,Mat Lak,P2,2 Parça,Tepsi 268-044 Mat Lak 2 pc,49,ADET,KOLİ,PALET,24,720,5.9031
M00033,TEPSI 312-058 LITOGRAFI 3 PARÇA,01,Mamul,SK11,Tepsi,KA4,Hediyelik,312-058,Kalıp 312-058,B1,Litografi,P3,3 Parça,Tepsi 312-058 Litografi 3 pc,63,ADET,KOLİ,PALET,100,2000,4.0272
M00034,KAPAK 084-022 LITOGRAFI 3 PARÇA,01,Mamul,SK12,Kapak,KA4,Hediyelik,084-022,Kalıp 084-022,B1,Litografi,P3,3 Parça,Kapak 084-022 Litografi 3 pc,27,ADET,KOLİ,PALET,24,576,4.5524
M00035,KAPAK 116-028 MAT LAK 2 PARÇA,01,Mamul,SK12,Kapak,KA5,Endüstriyel,116-028,Kalıp 116-028,B4,Mat Lak,P2,2 Parça,Kapak 116-028 Mat Lak 2 pc,33,ADET,KOLİ,PALET,100,3000,8.4453
M00036,KAPAK 148-034 HAM TENEKE 2 PARÇA,01,Mamul,SK12,Kapak,KA2,Boya-Kimya,148-034,Kalıp 148-034,B3,Ham Teneke,P2,2 Parça,Kapak 148-034 Ham Teneke 2 pc,39,ADET,KOLİ,PALET,12,240,4.1368
M00037,SADECE DIP 078-018 HAM TENEKE 3 PARÇA,01,Mamul,SK13,Sadece Dip,KA1,Gıda,078-018,Kalıp 078-018,B3,Ham Teneke,P3,3 Parça,Sadece Dip 078-018 Ham Teneke 3 pc,23,ADET,KOLİ,PALET,24,576,7.7596
M00038,SADECE DIP 106-024 MAT LAK 3 PARÇA,01,Mamul,SK13,Sadece Dip,KA2,Boya-Kimya,106-024,Kalıp 106-024,B4,Mat Lak,P3,3 Parça,Sadece Dip 106-024 Mat Lak 3 pc,29,ADET,KOLİ,PALET,12,240,1.4601
M00039,SADECE DIP 142-030 MAT LAK 3 PARÇA,01,Mamul,SK13,Sadece Dip,KA2,Boya-Kimya,142-030,Kalıp 142-030,B4,Mat Lak,P3,3 Parça,Sadece Dip 142-030 Mat Lak 3 pc,35,ADET,KOLİ,PALET,12,288,4.2958
M00040,SADECE KAPAK 094-020 VERNIKLI 3 PARÇA,01,Mamul,SK14,Sadece Kapak,KA5,Endüstriyel,094-020,Kalıp 094-020,B2,Vernikli,P3,3 Parça,Sadece Kapak 094-020 Vernikli 3 pc,25,ADET,KOLİ,PALET,12,288,11.3034
M00041,SADECE KAPAK 128-026 HAM TENEKE 3 PARÇA,01,Mamul,SK14,Sadece Kapak,KA1,Gıda,128-026,Kalıp 128-026,B3,Ham Teneke,P3,3 Parça,Sadece Kapak 128-026 Ham Teneke 3 pc,31,ADET,KOLİ,PALET,12,288,4.6261
M00042,SADECE KAPAK 162-032 LITOGRAFI 2 PARÇA,01,Mamul,SK14,Sadece Kapak,KA4,Hediyelik,162-032,Kalıp 162-032,B1,Litografi,P2,2 Parça,Sadece Kapak 162-032 Litografi 2 pc,37,ADET,KOLİ,PALET,12,240,8.5703
M00043,TEL MEKANIZMALI KUTU 138-104 VERNIKLI 3 PARÇA,01,Mamul,SK15,Tel Mekanizmali Kutu,KA4,Hediyelik,138-104,Kalıp 138-104,B2,Vernikli,P3,3 Parça,Tel Mekanizmali Tin 138-104 Vernikli 3 pc,109,ADET,KOLİ,PALET,24,480,8.3003
M00044,TEL MEKANIZMALI KUTU 176-132 MAT LAK 2 PARÇA,01,Mamul,SK15,Tel Mekanizmali Kutu,KA2,Boya-Kimya,176-132,Kalıp 176-132,B4,Mat Lak,P2,2 Parça,Tel Mekanizmali Tin 176-132 Mat Lak 2 pc,137,ADET,KOLİ,PALET,12,240,10.9748
M00045,TEL MEKANIZMALI KUTU 224-166 MAT LAK 3 PARÇA,01,Mamul,SK15,Tel Mekanizmali Kutu,KA3,Kozmetik,224-166,Kalıp 224-166,B4,Mat Lak,P3,3 Parça,Tel Mekanizmali Tin 224-166 Mat Lak 3 pc,171,ADET,KOLİ,PALET,48,1440,2.3234
M00046,PLAKA-BARDAK ALTI 186-012 HAM TENEKE 3 PARÇA,01,Mamul,SK16,Plaka-Bardak Alti,KA4,Hediyelik,186-012,Kalıp 186-012,B3,Ham Teneke,P3,3 Parça,Plaka-Bardak Alti 186-012 Ham Teneke 3 pc,17,ADET,KOLİ,PALET,60,1200,3.0129
M00047,PLAKA-BARDAK ALTI 232-016 VERNIKLI 2 PARÇA,01,Mamul,SK16,Plaka-Bardak Alti,KA2,Boya-Kimya,232-016,Kalıp 232-016,B2,Vernikli,P2,2 Parça,Plaka-Bardak Alti 232-016 Vernikli 2 pc,21,ADET,KOLİ,PALET,48,960,4.6625
